Sequential,Short,Long,DataPackfile,Profiletable,Columnheadingdescriptioninprofile
G4269,C5_9F_O_PENS_M_T,DEPENDENT_CHILDREN_AGED_5_9_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated_MALE_PARENT_Total,G12A,G12a,MALE PARENT: Total|DEPENDENT CHILDREN AGED 5-9 YEARS
G4270,C5_9F_O_E_T_M_EO,DEPENDENT_CHILDREN_AGED_5_9_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Total_MALE_PARENT_Speaks_English_only,G12A,G12a,MALE PARENT: Speaks English only|DEPENDENT CHILDREN AGED 5-9 YEARS
G4271,C5_9F_O_E_T_M_O_EVWW,DEPENDENT_CHILDREN_AGED_5_9_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Total_MALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well,G12A,G12a,MALE PARENT: Uses other language and speaks English: Very well or well|DEPENDENT CHILDREN AGED 5-9 YEARS
G4272,C5_9F_O_E_T_M_O_ENWNA,DEPENDENT_CHILDREN_AGED_5_9_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Total_MALE_PARENT_Uses_other_language_and_speaks_English_Not_well_or_not_at_all,G12A,G12a,MALE PARENT: Uses other language and speaks English: Not well or not at all|DEPENDENT CHILDREN AGED 5-9 YEARS
G4273,C5_9F_O_E_T_M_O_PENS,DEPENDENT_CHILDREN_AGED_5_9_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Total_MALE_PARENT_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Uses other language and speaks English: Proficiency in English not stated|DEPENDENT CHILDREN AGED 5-9 YEARS
G4274,C5_9F_O_E_T_M_O_E_T,DEPENDENT_CHILDREN_AGED_5_9_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Total_MALE_PARENT_Uses_other_language_and_speaks_English_Total,G12A,G12a,MALE PARENT: Uses other language and speaks English: Total|DEPENDENT CHILDREN AGED 5-9 YEARS
G4275,C5_9F_O_E_T_M_LPENS,DEPENDENT_CHILDREN_AGED_5_9_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Total_MALE_PARENT_Language_and_proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Language and proficiency in English not stated|DEPENDENT CHILDREN AGED 5-9 YEARS
G4276,C5_9F_O_E_T_M_T,DEPENDENT_CHILDREN_AGED_5_9_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Total_MALE_PARENT_Total,G12A,G12a,MALE PARENT: Total|DEPENDENT CHILDREN AGED 5-9 YEARS
G4277,C5_9F_LPENS_M_EO,DEPENDENT_CHILDREN_AGED_5_9_YEARS_FEMALE_PARENT_Language_and_proficiency_in_English_not_stated_MALE_PARENT_Speaks_English_only,G12A,G12a,MALE PARENT: Speaks English only|DEPENDENT CHILDREN AGED 5-9 YEARS
G4278,C5_9F_LPENS_M_O_EVWW,DEPENDENT_CHILDREN_AGED_5_9_YEARS_FEMALE_PARENT_Language_and_proficiency_in_English_not_stated_MALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well,G12A,G12a,MALE PARENT: Uses other language and speaks English: Very well or well|DEPENDENT CHILDREN AGED 5-9 YEARS
G4279,C5_9F_LPENS_M_O_ENWNA,DEPENDENT_CHILDREN_AGED_5_9_YEARS_FEMALE_PARENT_Language_and_proficiency_in_English_not_stated_MALE_PARENT_Uses_other_language_and_speaks_English_Not_well_or_not_at_all,G12A,G12a,MALE PARENT: Uses other language and speaks English: Not well or not at all|DEPENDENT CHILDREN AGED 5-9 YEARS
G4280,C5_9F_LPENS_M_O_PENS,DEPENDENT_CHILDREN_AGED_5_9_YEARS_FEMALE_PARENT_Language_and_proficiency_in_English_not_stated_MALE_PARENT_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Uses other language and speaks English: Proficiency in English not stated|DEPENDENT CHILDREN AGED 5-9 YEARS
G4281,C5_9F_LPENS_M_O_E_T,DEPENDENT_CHILDREN_AGED_5_9_YEARS_FEMALE_PARENT_Language_and_proficiency_in_English_not_stated_MALE_PARENT_Uses_other_language_and_speaks_English_Total,G12A,G12a,MALE PARENT: Uses other language and speaks English: Total|DEPENDENT CHILDREN AGED 5-9 YEARS
G4282,C5_9F_LPENS_M_LPENS,DEPENDENT_CHILDREN_AGED_5_9_YEARS_FEMALE_PARENT_Language_and_proficiency_in_English_not_stated_MALE_PARENT_Language_and_proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Language and proficiency in English not stated|DEPENDENT CHILDREN AGED 5-9 YEARS
G4283,C5_9F_LPENS_M_T,DEPENDENT_CHILDREN_AGED_5_9_YEARS_FEMALE_PARENT_Language_and_proficiency_in_English_not_stated_MALE_PARENT_Total,G12A,G12a,MALE PARENT: Total|DEPENDENT CHILDREN AGED 5-9 YEARS
G4284,C5_9F_T_M_EO,DEPENDENT_CHILDREN_AGED_5_9_YEARS_FEMALE_PARENT_Total_MALE_PARENT_Speaks_English_only,G12A,G12a,MALE PARENT: Speaks English only|DEPENDENT CHILDREN AGED 5-9 YEARS
G4285,C5_9F_T_M_O_EVWW,DEPENDENT_CHILDREN_AGED_5_9_YEARS_FEMALE_PARENT_Total_MALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well,G12A,G12a,MALE PARENT: Uses other language and speaks English: Very well or well|DEPENDENT CHILDREN AGED 5-9 YEARS
G4286,C5_9F_T_M_O_ENWNA,DEPENDENT_CHILDREN_AGED_5_9_YEARS_FEMALE_PARENT_Total_MALE_PARENT_Uses_other_language_and_speaks_English_Not_well_or_not_at_all,G12A,G12a,MALE PARENT: Uses other language and speaks English: Not well or not at all|DEPENDENT CHILDREN AGED 5-9 YEARS
G4287,C5_9F_T_M_O_PENS,DEPENDENT_CHILDREN_AGED_5_9_YEARS_FEMALE_PARENT_Total_MALE_PARENT_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Uses other language and speaks English: Proficiency in English not stated|DEPENDENT CHILDREN AGED 5-9 YEARS
G4288,C5_9F_T_M_O_E_T,DEPENDENT_CHILDREN_AGED_5_9_YEARS_FEMALE_PARENT_Total_MALE_PARENT_Uses_other_language_and_speaks_English_Total,G12A,G12a,MALE PARENT: Uses other language and speaks English: Total|DEPENDENT CHILDREN AGED 5-9 YEARS
G4289,C5_9F_T_M_LPENS,DEPENDENT_CHILDREN_AGED_5_9_YEARS_FEMALE_PARENT_Total_MALE_PARENT_Language_and_proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Language and proficiency in English not stated|DEPENDENT CHILDREN AGED 5-9 YEARS
G4290,C5_9F_T_M_T,DEPENDENT_CHILDREN_AGED_5_9_YEARS_FEMALE_PARENT_Total_MALE_PARENT_Total,G12A,G12a,MALE PARENT: Total|DEPENDENT CHILDREN AGED 5-9 YEARS
G4291,C10_12F_EO_M_EO,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Speaks_English_only_MALE_PARENT_Speaks_English_only,G12A,G12a,MALE PARENT: Speaks English only|DEPENDENT CHILDREN AGED 10-12 YEARS
G4292,C10_12F_EO_M_O_EVWW,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Speaks_English_only_MALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well,G12A,G12a,MALE PARENT: Uses other language and speaks English: Very well or well|DEPENDENT CHILDREN AGED 10-12 YEARS
G4293,C10_12F_EO_M_O_ENWNA,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Speaks_English_only_MALE_PARENT_Uses_other_language_and_speaks_English_Not_well_or_not_at_all,G12A,G12a,MALE PARENT: Uses other language and speaks English: Not well or not at all|DEPENDENT CHILDREN AGED 10-12 YEARS
G4294,C10_12F_EO_M_O_PENS,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Speaks_English_only_MALE_PARENT_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Uses other language and speaks English: Proficiency in English not stated|DEPENDENT CHILDREN AGED 10-12 YEARS
G4295,C10_12F_EO_M_O_E_T,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Speaks_English_only_MALE_PARENT_Uses_other_language_and_speaks_English_Total,G12A,G12a,MALE PARENT: Uses other language and speaks English: Total|DEPENDENT CHILDREN AGED 10-12 YEARS
G4296,C10_12F_EO_M_LPENS,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Speaks_English_only_MALE_PARENT_Language_and_proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Language and proficiency in English not stated|DEPENDENT CHILDREN AGED 10-12 YEARS
G4297,C10_12F_EO_M_T,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Speaks_English_only_MALE_PARENT_Total,G12A,G12a,MALE PARENT: Total|DEPENDENT CHILDREN AGED 10-12 YEARS
G4298,C10_12F_O_EVWW_M_EO,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well_MALE_PARENT_Speaks_English_only,G12A,G12a,MALE PARENT: Speaks English only|DEPENDENT CHILDREN AGED 10-12 YEARS
G4299,C10_12F_O_EVWW_M_O_EVWW,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well_MALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well,G12A,G12a,MALE PARENT: Uses other language and speaks English: Very well or well|DEPENDENT CHILDREN AGED 10-12 YEARS
G4300,C10_12F_O_EVWW_M_O_ENWNA,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well_MALE_PARENT_Uses_other_language_and_speaks_English_Not_well_or_not_at_all,G12A,G12a,MALE PARENT: Uses other language and speaks English: Not well or not at all|DEPENDENT CHILDREN AGED 10-12 YEARS
G4301,C10_12F_O_EVWW_M_O_PENS,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well_MALE_PARENT_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Uses other language and speaks English: Proficiency in English not stated|DEPENDENT CHILDREN AGED 10-12 YEARS
G4302,C10_12F_O_EVWW_M_O_E_T,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well_MALE_PARENT_Uses_other_language_and_speaks_English_Total,G12A,G12a,MALE PARENT: Uses other language and speaks English: Total|DEPENDENT CHILDREN AGED 10-12 YEARS
G4303,C10_12F_O_EVWW_M_LPENS,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well_MALE_PARENT_Language_and_proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Language and proficiency in English not stated|DEPENDENT CHILDREN AGED 10-12 YEARS
G4304,C10_12F_O_EVWW_M_T,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well_MALE_PARENT_Total,G12A,G12a,MALE PARENT: Total|DEPENDENT CHILDREN AGED 10-12 YEARS
G4305,C10_12F_O_ENWNA_M_EO,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_MALE_PARENT_Speaks_English_only,G12A,G12a,MALE PARENT: Speaks English only|DEPENDENT CHILDREN AGED 10-12 YEARS
G4306,C10_12F_O_ENWNA_M_O_EVWW,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_MALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well,G12A,G12a,MALE PARENT: Uses other language and speaks English: Very well or well|DEPENDENT CHILDREN AGED 10-12 YEARS
G4307,C10_12F_O_ENWNA_M_O_ENWNA,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_MALE_PARENT_Uses_other_language_and_speaks_English_Not_well_or_not_at_all,G12A,G12a,MALE PARENT: Uses other language and speaks English: Not well or not at all|DEPENDENT CHILDREN AGED 10-12 YEARS
G4308,C10_12F_O_ENWNA_M_O_PENS,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_MALE_PARENT_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Uses other language and speaks English: Proficiency in English not stated|DEPENDENT CHILDREN AGED 10-12 YEARS
G4309,C10_12F_O_ENWNA_M_O_E_T,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_MALE_PARENT_Uses_other_language_and_speaks_English_Total,G12A,G12a,MALE PARENT: Uses other language and speaks English: Total|DEPENDENT CHILDREN AGED 10-12 YEARS
G4310,C10_12F_O_ENWNA_M_LPENS,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_MALE_PARENT_Language_and_proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Language and proficiency in English not stated|DEPENDENT CHILDREN AGED 10-12 YEARS
G4311,C10_12F_O_ENWNA_M_T,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Not_well_or_not_at_all_MALE_PARENT_Total,G12A,G12a,MALE PARENT: Total|DEPENDENT CHILDREN AGED 10-12 YEARS
G4312,C10_12F_O_PENS_M_EO,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated_MALE_PARENT_Speaks_English_only,G12A,G12a,MALE PARENT: Speaks English only|DEPENDENT CHILDREN AGED 10-12 YEARS
G4313,C10_12F_O_PENS_M_O_EVWW,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated_MALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well,G12A,G12a,MALE PARENT: Uses other language and speaks English: Very well or well|DEPENDENT CHILDREN AGED 10-12 YEARS
G4314,C10_12F_O_PENS_M_O_ENWNA,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated_MALE_PARENT_Uses_other_language_and_speaks_English_Not_well_or_not_at_all,G12A,G12a,MALE PARENT: Uses other language and speaks English: Not well or not at all|DEPENDENT CHILDREN AGED 10-12 YEARS
G4315,C10_12F_O_PENS_M_O_PENS,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated_MALE_PARENT_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Uses other language and speaks English: Proficiency in English not stated|DEPENDENT CHILDREN AGED 10-12 YEARS
G4316,C10_12F_O_PENS_M_O_E_T,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated_MALE_PARENT_Uses_other_language_and_speaks_English_Total,G12A,G12a,MALE PARENT: Uses other language and speaks English: Total|DEPENDENT CHILDREN AGED 10-12 YEARS
G4317,C10_12F_O_PENS_M_LPENS,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated_MALE_PARENT_Language_and_proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Language and proficiency in English not stated|DEPENDENT CHILDREN AGED 10-12 YEARS
G4318,C10_12F_O_PENS_M_T,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated_MALE_PARENT_Total,G12A,G12a,MALE PARENT: Total|DEPENDENT CHILDREN AGED 10-12 YEARS
G4319,C10_12F_O_E_T_M_EO,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Total_MALE_PARENT_Speaks_English_only,G12A,G12a,MALE PARENT: Speaks English only|DEPENDENT CHILDREN AGED 10-12 YEARS
G4320,C10_12F_O_E_T_M_O_EVWW,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Total_MALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well,G12A,G12a,MALE PARENT: Uses other language and speaks English: Very well or well|DEPENDENT CHILDREN AGED 10-12 YEARS
G4321,C10_12F_O_E_T_M_O_ENWNA,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Total_MALE_PARENT_Uses_other_language_and_speaks_English_Not_well_or_not_at_all,G12A,G12a,MALE PARENT: Uses other language and speaks English: Not well or not at all|DEPENDENT CHILDREN AGED 10-12 YEARS
G4322,C10_12F_O_E_T_M_O_PENS,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Total_MALE_PARENT_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Uses other language and speaks English: Proficiency in English not stated|DEPENDENT CHILDREN AGED 10-12 YEARS
G4323,C10_12F_O_E_T_M_O_E_T,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Total_MALE_PARENT_Uses_other_language_and_speaks_English_Total,G12A,G12a,MALE PARENT: Uses other language and speaks English: Total|DEPENDENT CHILDREN AGED 10-12 YEARS
G4324,C10_12F_O_E_T_M_LPENS,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Total_MALE_PARENT_Language_and_proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Language and proficiency in English not stated|DEPENDENT CHILDREN AGED 10-12 YEARS
G4325,C10_12F_O_E_T_M_T,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Total_MALE_PARENT_Total,G12A,G12a,MALE PARENT: Total|DEPENDENT CHILDREN AGED 10-12 YEARS
G4326,C10_12F_LPENS_M_EO,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Language_and_proficiency_in_English_not_stated_MALE_PARENT_Speaks_English_only,G12A,G12a,MALE PARENT: Speaks English only|DEPENDENT CHILDREN AGED 10-12 YEARS
G4327,C10_12F_LPENS_M_O_EVWW,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Language_and_proficiency_in_English_not_stated_MALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well,G12A,G12a,MALE PARENT: Uses other language and speaks English: Very well or well|DEPENDENT CHILDREN AGED 10-12 YEARS
G4328,C10_12F_LPENS_M_O_ENWNA,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Language_and_proficiency_in_English_not_stated_MALE_PARENT_Uses_other_language_and_speaks_English_Not_well_or_not_at_all,G12A,G12a,MALE PARENT: Uses other language and speaks English: Not well or not at all|DEPENDENT CHILDREN AGED 10-12 YEARS
G4329,C10_12F_LPENS_M_O_PENS,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Language_and_proficiency_in_English_not_stated_MALE_PARENT_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Uses other language and speaks English: Proficiency in English not stated|DEPENDENT CHILDREN AGED 10-12 YEARS
G4330,C10_12F_LPENS_M_O_E_T,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Language_and_proficiency_in_English_not_stated_MALE_PARENT_Uses_other_language_and_speaks_English_Total,G12A,G12a,MALE PARENT: Uses other language and speaks English: Total|DEPENDENT CHILDREN AGED 10-12 YEARS
G4331,C10_12F_LPENS_M_LPENS,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Language_and_proficiency_in_English_not_stated_MALE_PARENT_Language_and_proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Language and proficiency in English not stated|DEPENDENT CHILDREN AGED 10-12 YEARS
G4332,C10_12F_LPENS_M_T,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Language_and_proficiency_in_English_not_stated_MALE_PARENT_Total,G12A,G12a,MALE PARENT: Total|DEPENDENT CHILDREN AGED 10-12 YEARS
G4333,C10_12F_T_M_EO,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Total_MALE_PARENT_Speaks_English_only,G12A,G12a,MALE PARENT: Speaks English only|DEPENDENT CHILDREN AGED 10-12 YEARS
G4334,C10_12F_T_M_O_EVWW,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Total_MALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well,G12A,G12a,MALE PARENT: Uses other language and speaks English: Very well or well|DEPENDENT CHILDREN AGED 10-12 YEARS
G4335,C10_12F_T_M_O_ENWNA,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Total_MALE_PARENT_Uses_other_language_and_speaks_English_Not_well_or_not_at_all,G12A,G12a,MALE PARENT: Uses other language and speaks English: Not well or not at all|DEPENDENT CHILDREN AGED 10-12 YEARS
G4336,C10_12F_T_M_O_PENS,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Total_MALE_PARENT_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Uses other language and speaks English: Proficiency in English not stated|DEPENDENT CHILDREN AGED 10-12 YEARS
G4337,C10_12F_T_M_O_E_T,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Total_MALE_PARENT_Uses_other_language_and_speaks_English_Total,G12A,G12a,MALE PARENT: Uses other language and speaks English: Total|DEPENDENT CHILDREN AGED 10-12 YEARS
G4338,C10_12F_T_M_LPENS,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Total_MALE_PARENT_Language_and_proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Language and proficiency in English not stated|DEPENDENT CHILDREN AGED 10-12 YEARS
G4339,C10_12F_T_M_T,DEPENDENT_CHILDREN_AGED_10_12_YEARS_FEMALE_PARENT_Total_MALE_PARENT_Total,G12A,G12a,MALE PARENT: Total|DEPENDENT CHILDREN AGED 10-12 YEARS
G4340,C13_14F_EO_M_EO,DEPENDENT_CHILDREN_AGED_13_14_YEARS_FEMALE_PARENT_Speaks_English_only_MALE_PARENT_Speaks_English_only,G12A,G12a,MALE PARENT: Speaks English only|DEPENDENT CHILDREN AGED 13-14 YEARS
G4341,C13_14F_EO_M_O_EVWW,DEPENDENT_CHILDREN_AGED_13_14_YEARS_FEMALE_PARENT_Speaks_English_only_MALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well,G12A,G12a,MALE PARENT: Uses other language and speaks English: Very well or well|DEPENDENT CHILDREN AGED 13-14 YEARS
G4342,C13_14F_EO_M_O_ENWNA,DEPENDENT_CHILDREN_AGED_13_14_YEARS_FEMALE_PARENT_Speaks_English_only_MALE_PARENT_Uses_other_language_and_speaks_English_Not_well_or_not_at_all,G12A,G12a,MALE PARENT: Uses other language and speaks English: Not well or not at all|DEPENDENT CHILDREN AGED 13-14 YEARS
G4343,C13_14F_EO_M_O_PENS,DEPENDENT_CHILDREN_AGED_13_14_YEARS_FEMALE_PARENT_Speaks_English_only_MALE_PARENT_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Uses other language and speaks English: Proficiency in English not stated|DEPENDENT CHILDREN AGED 13-14 YEARS
G4344,C13_14F_EO_M_O_E_T,DEPENDENT_CHILDREN_AGED_13_14_YEARS_FEMALE_PARENT_Speaks_English_only_MALE_PARENT_Uses_other_language_and_speaks_English_Total,G12A,G12a,MALE PARENT: Uses other language and speaks English: Total|DEPENDENT CHILDREN AGED 13-14 YEARS
G4345,C13_14F_EO_M_LPENS,DEPENDENT_CHILDREN_AGED_13_14_YEARS_FEMALE_PARENT_Speaks_English_only_MALE_PARENT_Language_and_proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Language and proficiency in English not stated|DEPENDENT CHILDREN AGED 13-14 YEARS
G4346,C13_14F_EO_M_T,DEPENDENT_CHILDREN_AGED_13_14_YEARS_FEMALE_PARENT_Speaks_English_only_MALE_PARENT_Total,G12A,G12a,MALE PARENT: Total|DEPENDENT CHILDREN AGED 13-14 YEARS
G4347,C13_14F_O_EVWW_M_EO,DEPENDENT_CHILDREN_AGED_13_14_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well_MALE_PARENT_Speaks_English_only,G12A,G12a,MALE PARENT: Speaks English only|DEPENDENT CHILDREN AGED 13-14 YEARS
G4348,C13_14F_O_EVWW_M_O_EVWW,DEPENDENT_CHILDREN_AGED_13_14_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well_MALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well,G12A,G12a,MALE PARENT: Uses other language and speaks English: Very well or well|DEPENDENT CHILDREN AGED 13-14 YEARS
G4349,C13_14F_O_EVWW_M_O_ENWNA,DEPENDENT_CHILDREN_AGED_13_14_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well_MALE_PARENT_Uses_other_language_and_speaks_English_Not_well_or_not_at_all,G12A,G12a,MALE PARENT: Uses other language and speaks English: Not well or not at all|DEPENDENT CHILDREN AGED 13-14 YEARS
G4350,C13_14F_O_EVWW_M_O_PENS,DEPENDENT_CHILDREN_AGED_13_14_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well_MALE_PARENT_Uses_other_language_and_speaks_English_Proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Uses other language and speaks English: Proficiency in English not stated|DEPENDENT CHILDREN AGED 13-14 YEARS
G4351,C13_14F_O_EVWW_M_O_E_T,DEPENDENT_CHILDREN_AGED_13_14_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well_MALE_PARENT_Uses_other_language_and_speaks_English_Total,G12A,G12a,MALE PARENT: Uses other language and speaks English: Total|DEPENDENT CHILDREN AGED 13-14 YEARS
G4352,C13_14F_O_EVWW_M_LPENS,DEPENDENT_CHILDREN_AGED_13_14_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well_MALE_PARENT_Language_and_proficiency_in_English_not_stated,G12A,G12a,MALE PARENT: Language and proficiency in English not stated|DEPENDENT CHILDREN AGED 13-14 YEARS
G4353,C13_14F_O_EVWW_M_T,DEPENDENT_CHILDREN_AGED_13_14_YEARS_FEMALE_PARENT_Uses_other_language_and_speaks_English_Very_well_or_well_MALE_PARENT_Total,G12A,G12a,MALE PARENT: Total|DEPENDENT CHILDREN AGED 13-14 YEARS
