district,A_0_4_y_Indigenous_M_n,A_0_4_y_Indigenous_F_n,A_0_4_y_Indigenous_P_n,A_0_4_y_Non_Indigenous_M_n,A_0_4_y_Non_Indigenous_F_n,A_0_4_y_Non_Indigenous_P_n,A_0_4_y_Indig_stat_ns_M_n,A_0_4_y_Indig_stat_ns_F_n,A_0_4_y_Indig_stat_ns_P_n,A_0_4_y_Tot_M_n,A_0_4_y_Tot_F_n,A_0_4_y_Tot_P_n,A_5_9_y_Indigenous_M_n,A_5_9_y_Indigenous_F_n,A_5_9_y_Indigenous_P_n,A_5_9_y_Non_Indigenous_M_n,A_5_9_y_Non_Indigenous_F_n,A_5_9_y_Non_Indigenous_P_n,A_5_9_y_Indig_stat_ns_M_n,A_5_9_y_Indig_stat_ns_F_n,A_5_9_y_Indig_stat_ns_P_n,A_5_9_y_Tot_M_n,A_5_9_y_Tot_F_n,A_5_9_y_Tot_P_n,A_10_14_y_Indigenous_M_n,A_10_14_y_Indigenous_F_n,A_10_14_y_Indigenous_P_n,A_10_14_y_Non_Indig_M_n,A_10_14_y_Non_Indig_F_n,A_10_14_y_Non_Indig_P_n,A_10_14_y_Indig_stat_ns_M_n,A_10_14_y_Indig_stat_ns_F_n,A_10_14_y_Indig_stat_ns_P_n,A_10_14_y_Tot_M_n,A_10_14_y_Tot_F_n,A_10_14_y_Tot_P_n,A_15_19_y_Indigenous_M_n,A_15_19_y_Indigenous_F_n,A_15_19_y_Indigenous_P_n,A_15_19_y_Non_Indig_M_n,A_15_19_y_Non_Indig_F_n,A_15_19_y_Non_Indig_P_n,A_15_19_y_Indig_stat_ns_M_n,A_15_19_y_Indig_stat_ns_F_n,A_15_19_y_Indig_stat_ns_P_n,A_15_19_y_Tot_M_n,A_15_19_y_Tot_F_n,A_15_19_y_Tot_P_n,A_20_24_y_Indigenous_M_n,A_20_24_y_Indigenous_F_n,A_20_24_y_Indigenous_P_n,A_20_24_y_Non_Indig_M_n,A_20_24_y_Non_Indig_F_n,A_20_24_y_Non_Indig_P_n,A_20_24_y_Indig_stat_ns_M_n,A_20_24_y_Indig_stat_ns_F_n,A_20_24_y_Indig_stat_ns_P_n,A_20_24_y_Tot_M_n,A_20_24_y_Tot_F_n,A_20_24_y_Tot_P_n,A_25_29_y_Indigenous_M_n,A_25_29_y_Indigenous_F_n,A_25_29_y_Indigenous_P_n,A_25_29_y_Non_Indig_M_n,A_25_29_y_Non_Indig_F_n,A_25_29_y_Non_Indig_P_n,A_25_29_y_Indig_stat_ns_M_n,A_25_29_y_Indig_stat_ns_F_n,A_25_29_y_Indig_stat_ns_P_n,A_25_29_y_Tot_M_n,A_25_29_y_Tot_F_n,A_25_29_y_Tot_P_n,A_30_34_y_Indigenous_M_n,A_30_34_y_Indigenous_F_n,A_30_34_y_Indigenous_P_n,A_30_34_y_Non_Indig_M_n,A_30_34_y_Non_Indig_F_n,A_30_34_y_Non_Indig_P_n,A_30_34_y_Indig_stat_ns_M_n,A_30_34_y_Indig_stat_ns_F_n,A_30_34_y_Indig_stat_ns_P_n,A_30_34_y_Tot_M_n,A_30_34_y_Tot_F_n,A_30_34_y_Tot_P_n,A_35_39_y_Indigenous_M_n,A_35_39_y_Indigenous_F_n,A_35_39_y_Indigenous_P_n,A_35_39_y_Non_Indig_M_n,A_35_39_y_Non_Indig_F_n,A_35_39_y_Non_Indig_P_n,A_35_39_y_Indig_stat_ns_M_n,A_35_39_y_Indig_stat_ns_F_n,A_35_39_y_Indig_stat_ns_P_n,A_35_39_y_Tot_M_n,A_35_39_y_Tot_F_n,A_35_39_y_Tot_P_n,A_40_44_y_Indigenous_M_n,A_40_44_y_Indigenous_F_n,A_40_44_y_Indigenous_P_n,A_40_44_y_Non_Indig_M_n,A_40_44_y_Non_Indig_F_n,A_40_44_y_Non_Indig_P_n,A_40_44_y_Indig_stat_ns_M_n,A_40_44_y_Indig_stat_ns_F_n,A_40_44_y_Indig_stat_ns_P_n,A_40_44_y_Tot_M_n,A_40_44_y_Tot_F_n,A_40_44_y_Tot_P_n,A_45_49_y_Indigenous_M_n,A_45_49_y_Indigenous_F_n,A_45_49_y_Indigenous_P_n,A_45_49_y_Non_Indig_M_n,A_45_49_y_Non_Indig_F_n,A_45_49_y_Non_Indig_P_n,A_45_49_y_Indig_stat_ns_M_n,A_45_49_y_Indig_stat_ns_F_n,A_45_49_y_Indig_stat_ns_P_n,A_45_49_y_Tot_M_n,A_45_49_y_Tot_F_n,A_45_49_y_Tot_P_n,A_50_54_y_Indigenous_M_n,A_50_54_y_Indigenous_F_n,A_50_54_y_Indigenous_P_n,A_50_54_y_Non_Indig_M_n,A_50_54_y_Non_Indig_F_n,A_50_54_y_Non_Indig_P_n,A_50_54_y_Indig_stat_ns_M_n,A_50_54_y_Indig_stat_ns_F_n,A_50_54_y_Indig_stat_ns_P_n,A_50_54_y_Tot_M_n,A_50_54_y_Tot_F_n,A_50_54_y_Tot_P_n,A_55_59_y_Indigenous_M_n,A_55_59_y_Indigenous_F_n,A_55_59_y_Indigenous_P_n,A_55_59_y_Non_Indig_M_n,A_55_59_y_Non_Indig_F_n,A_55_59_y_Non_Indig_P_n,A_55_59_y_Indig_stat_ns_M_n,A_55_59_y_Indig_stat_ns_F_n,A_55_59_y_Indig_stat_ns_P_n,A_55_59_y_Tot_M_n,A_55_59_y_Tot_F_n,A_55_59_y_Tot_P_n,A_60_64_y_Indigenous_M_n,A_60_64_y_Indigenous_F_n,A_60_64_y_Indigenous_P_n,A_60_64_y_Non_Indig_M_n,A_60_64_y_Non_Indig_F_n,A_60_64_y_Non_Indig_P_n,A_60_64_y_Indig_stat_ns_M_n,A_60_64_y_Indig_stat_ns_F_n,A_60_64_y_Indig_stat_ns_P_n,A_60_64_y_Tot_M_n,A_60_64_y_Tot_F_n,A_60_64_y_Tot_P_n,A_65_y_ov_Indigenous_M_n,A_65_y_ov_Indigenous_F_n,A_65_y_ov_Indigenous_P_n,A_65_y_ov_Non_Indig_M_n,A_65_y_ov_Non_Indig_F_n,A_65_y_ov_Non_Indig_P_n,A_65_y_ov_Indig_stat_ns_M_n,A_65_y_ov_Indig_stat_ns_F_n,A_65_y_ov_Indig_stat_ns_P_n,A_65_y_ov_Tot_M_n,A_65_y_ov_Tot_F_n,A_65_y_ov_Tot_P_n,Tot_Indigenous_M_n,Tot_Indigenous_F_n,Tot_Indigenous_P_n,Tot_Non_Indigenous_M_n,Tot_Non_Indigenous_F_n,Tot_Non_Indigenous_P_n,Tot_Indig_status_ns_M_n,Tot_Indig_status_ns_F_n,Tot_Indig_status_ns_P_n,Tot_Tot_M_n,Tot_Tot_F_n,Tot_Tot_P_n,Tot_Tot_P_total
Greenvale,7.0,9.0,22.0,2576.0,2353.0,4877.0,73.0,52.0,173.0,2679.0,2468.0,5113.0,3.0,10.0,26.0,2712.0,2594.0,5274.0,73.0,84.0,221.0,2869.0,2716.0,5560.0,18.0,24.0,45.0,2807.0,2697.0,5461.0,89.0,65.0,241.0,2967.0,2805.0,5767.0,12.0,4.0,31.0,2830.0,2686.0,5418.0,54.0,67.0,178.0,2927.0,2852.0,5636.0,12.0,3.0,22.0,2858.0,2819.0,5704.0,74.0,80.0,195.0,3003.0,2953.0,5970.0,0.0,0.0,14.0,2678.0,2579.0,5242.0,97.0,77.0,221.0,2829.0,2671.0,5612.0,4.0,3.0,14.0,2504.0,2642.0,5175.0,80.0,63.0,204.0,2624.0,2815.0,5444.0,6.0,0.0,10.0,2389.0,2613.0,5021.0,84.0,108.0,233.0,2546.0,2786.0,5363.0,0.0,0.0,0.0,2277.0,2388.0,4681.0,74.0,77.0,208.0,2396.0,2499.0,4906.0,0.0,3.0,3.0,2160.0,2428.0,4572.0,49.0,50.0,157.0,2258.0,2607.0,4833.0,3.0,5.0,9.0,2456.0,2763.0,5239.0,65.0,47.0,162.0,2604.0,2873.0,5473.0,0.0,0.0,3.0,2494.0,2434.0,4961.0,56.0,40.0,134.0,2574.0,2516.0,5147.0,0.0,0.0,0.0,1880.0,1901.0,3767.0,33.0,34.0,104.0,1952.0,2016.0,3945.0,0.0,4.0,4.0,3695.0,3823.0,7619.0,66.0,135.0,239.0,3790.0,4044.0,7906.0,181.0,199.0,455.0,36374.0,36872.0,73159.0,1620.0,1543.0,3163.0,38164.0,38679.0,76831.0,76831.0
Hastings,35.0,19.0,72.0,1911.0,1829.0,3774.0,37.0,33.0,81.0,2057.0,1898.0,3961.0,16.0,11.0,47.0,2068.0,1880.0,3906.0,44.0,32.0,115.0,2199.0,1952.0,4174.0,28.0,24.0,74.0,1949.0,1953.0,3906.0,56.0,70.0,159.0,2080.0,2127.0,4198.0,20.0,13.0,54.0,2075.0,1787.0,3875.0,41.0,50.0,139.0,2218.0,1958.0,4128.0,29.0,22.0,79.0,1982.0,1608.0,3593.0,42.0,39.0,113.0,2093.0,1709.0,3799.0,4.0,0.0,24.0,1893.0,1843.0,3734.0,49.0,37.0,120.0,2015.0,1954.0,3929.0,4.0,5.0,17.0,1943.0,2138.0,4135.0,28.0,30.0,117.0,2036.0,2219.0,4283.0,7.0,4.0,23.0,1968.0,2168.0,4086.0,105.0,54.0,166.0,2083.0,2270.0,4334.0,0.0,7.0,11.0,1781.0,1920.0,3730.0,60.0,30.0,148.0,1955.0,1991.0,3963.0,0.0,0.0,6.0,1867.0,2100.0,3926.0,50.0,56.0,177.0,1962.0,2211.0,4158.0,4.0,10.0,17.0,1933.0,2238.0,4206.0,56.0,45.0,153.0,2049.0,2356.0,4448.0,12.0,8.0,18.0,2009.0,2282.0,4279.0,38.0,37.0,124.0,2098.0,2409.0,4422.0,3.0,0.0,15.0,1872.0,2176.0,4034.0,32.0,40.0,106.0,1966.0,2210.0,4256.0,19.0,10.0,38.0,5468.0,6361.0,11908.0,243.0,230.0,496.0,5773.0,6705.0,12502.0,439.0,429.0,860.0,30798.0,32227.0,63009.0,1341.0,1285.0,2678.0,32613.0,33936.0,66565.0,66565.0
Hawthorn,0.0,0.0,0.0,1338.0,1350.0,2690.0,13.0,7.0,38.0,1373.0,1377.0,2768.0,4.0,0.0,4.0,1767.0,1630.0,3366.0,33.0,22.0,87.0,1818.0,1667.0,3418.0,0.0,0.0,0.0,2081.0,1950.0,3973.0,13.0,23.0,45.0,2070.0,2026.0,4061.0,0.0,4.0,4.0,2237.0,2204.0,4467.0,23.0,30.0,90.0,2300.0,2306.0,4583.0,3.0,3.0,12.0,2708.0,2800.0,5467.0,58.0,62.0,149.0,2782.0,2900.0,5708.0,3.0,0.0,6.0,2919.0,2990.0,5873.0,65.0,53.0,165.0,3011.0,3110.0,6113.0,0.0,0.0,0.0,2328.0,2608.0,5038.0,44.0,84.0,146.0,2450.0,2727.0,5245.0,0.0,0.0,0.0,2146.0,2432.0,4526.0,29.0,28.0,105.0,2225.0,2485.0,4711.0,0.0,0.0,3.0,2021.0,2198.0,4224.0,19.0,31.0,100.0,2100.0,2291.0,4382.0,0.0,0.0,4.0,1990.0,2368.0,4427.0,38.0,31.0,91.0,2087.0,2423.0,4586.0,0.0,0.0,0.0,2129.0,2410.0,4603.0,20.0,14.0,84.0,2208.0,2504.0,4755.0,0.0,0.0,0.0,1949.0,2169.0,4098.0,20.0,17.0,77.0,2024.0,2201.0,4201.0,0.0,0.0,0.0,1710.0,1904.0,3581.0,11.0,26.0,60.0,1773.0,1989.0,3762.0,0.0,0.0,3.0,5216.0,6777.0,12024.0,141.0,262.0,487.0,5444.0,7065.0,12571.0,62.0,57.0,154.0,32440.0,35846.0,68288.0,1039.0,1134.0,2219.0,33629.0,37020.0,70669.0,70669.0
Ivanhoe,6.0,3.0,37.0,1743.0,1708.0,3363.0,22.0,22.0,51.0,1797.0,1740.0,3496.0,8.0,8.0,23.0,1911.0,1872.0,3836.0,44.0,38.0,79.0,2000.0,1967.0,3995.0,4.0,3.0,12.0,1834.0,1875.0,3705.0,40.0,49.0,94.0,1876.0,1985.0,3845.0,11.0,4.0,26.0,1785.0,1670.0,3467.0,41.0,20.0,81.0,1862.0,1729.0,3633.0,18.0,3.0,26.0,1889.0,1922.0,3808.0,61.0,32.0,124.0,1975.0,1996.0,3945.0,3.0,5.0,24.0,2064.0,2083.0,4176.0,41.0,30.0,118.0,2172.0,2170.0,4345.0,0.0,0.0,0.0,2250.0,2388.0,4667.0,52.0,62.0,153.0,2387.0,2515.0,4876.0,0.0,3.0,8.0,2308.0,2408.0,4716.0,42.0,43.0,100.0,2368.0,2498.0,4872.0,0.0,7.0,10.0,2230.0,2306.0,4464.0,55.0,25.0,109.0,2314.0,2342.0,4635.0,3.0,0.0,3.0,2072.0,2213.0,4338.0,39.0,33.0,95.0,2164.0,2288.0,4526.0,3.0,0.0,6.0,1991.0,2144.0,4125.0,24.0,19.0,88.0,2021.0,2219.0,4249.0,0.0,0.0,5.0,1883.0,2038.0,3932.0,40.0,14.0,79.0,1927.0,2092.0,4058.0,4.0,5.0,17.0,1798.0,1910.0,3719.0,21.0,16.0,63.0,1860.0,1983.0,3855.0,9.0,0.0,21.0,5022.0,6364.0,11372.0,141.0,177.0,339.0,5237.0,6546.0,11823.0,208.0,162.0,415.0,30757.0,32904.0,63657.0,1078.0,988.0,2068.0,32066.0,34111.0,66215.0,66215.0
Kalkallo,18.0,24.0,89.0,4720.0,4428.0,9228.0,151.0,94.0,327.0,4959.0,4737.0,9690.0,35.0,42.0,112.0,4341.0,4127.0,8473.0,116.0,144.0,361.0,4600.0,4362.0,8965.0,8.0,9.0,52.0,3475.0,3121.0,6474.0,114.0,111.0,288.0,3697.0,3292.0,6896.0,30.0,6.0,61.0,2550.0,2460.0,5066.0,89.0,57.0,203.0,2797.0,2657.0,5350.0,3.0,15.0,22.0,2980.0,2673.0,5586.0,135.0,51.0,208.0,3151.0,2820.0,5972.0,12.0,5.0,28.0,3460.0,3896.0,7397.0,155.0,137.0,382.0,3786.0,4151.0,7882.0,7.0,7.0,24.0,4721.0,5368.0,10043.0,97.0,173.0,395.0,4929.0,5594.0,10523.0,0.0,5.0,6.0,5064.0,4806.0,9858.0,158.0,157.0,392.0,5287.0,5042.0,10367.0,5.0,0.0,11.0,3643.0,3252.0,6889.0,91.0,85.0,222.0,3865.0,3357.0,7267.0,0.0,3.0,3.0,2522.0,2358.0,4890.0,38.0,46.0,132.0,2637.0,2494.0,5152.0,0.0,0.0,0.0,2054.0,2152.0,4197.0,57.0,36.0,149.0,2188.0,2289.0,4451.0,0.0,0.0,6.0,1813.0,1907.0,3680.0,38.0,49.0,131.0,1932.0,2038.0,3859.0,0.0,0.0,0.0,1477.0,1589.0,2939.0,19.0,13.0,67.0,1523.0,1646.0,3104.0,3.0,0.0,8.0,2701.0,2986.0,5680.0,61.0,40.0,161.0,2801.0,3088.0,5898.0,355.0,359.0,815.0,45453.0,45143.0,90622.0,2056.0,2006.0,4107.0,48079.0,47497.0,95542.0,95542.0
Kew,6.0,4.0,15.0,1374.0,1268.0,2654.0,14.0,8.0,44.0,1401.0,1304.0,2743.0,0.0,0.0,0.0,1962.0,1918.0,3860.0,8.0,13.0,60.0,2029.0,1952.0,4006.0,0.0,0.0,3.0,2668.0,2599.0,5301.0,25.0,9.0,71.0,2769.0,2640.0,5401.0,11.0,10.0,24.0,2861.0,2631.0,5553.0,34.0,27.0,91.0,2935.0,2715.0,5684.0,6.0,0.0,11.0,2615.0,2399.0,4931.0,11.0,29.0,74.0,2676.0,2460.0,5062.0,0.0,3.0,6.0,2070.0,1867.0,3914.0,19.0,27.0,68.0,2118.0,1967.0,4035.0,0.0,0.0,0.0,1732.0,1751.0,3543.0,18.0,8.0,53.0,1804.0,1828.0,3688.0,0.0,0.0,0.0,1670.0,2124.0,3800.0,29.0,16.0,70.0,1705.0,2172.0,3950.0,0.0,0.0,0.0,2010.0,2428.0,4461.0,15.0,22.0,59.0,2056.0,2469.0,4557.0,0.0,0.0,0.0,2336.0,2726.0,5077.0,27.0,43.0,93.0,2427.0,2794.0,5207.0,0.0,0.0,3.0,2523.0,2959.0,5474.0,27.0,35.0,123.0,2627.0,3049.0,5675.0,0.0,0.0,0.0,2457.0,2658.0,5138.0,24.0,18.0,62.0,2515.0,2681.0,5238.0,0.0,0.0,0.0,2092.0,2260.0,4378.0,21.0,6.0,61.0,2140.0,2352.0,4511.0,0.0,0.0,0.0,6158.0,7672.0,13832.0,127.0,258.0,417.0,6374.0,7979.0,14318.0,73.0,55.0,162.0,34499.0,37386.0,71883.0,901.0,933.0,1891.0,35554.0,38501.0,73900.0,73900.0
Kororoit,7.0,3.0,12.0,3024.0,2922.0,5939.0,64.0,91.0,216.0,3174.0,3094.0,6210.0,5.0,3.0,6.0,3562.0,3305.0,6790.0,83.0,113.0,246.0,3679.0,3466.0,7128.0,8.0,0.0,19.0,3135.0,2941.0,6001.0,124.0,94.0,283.0,3252.0,3090.0,6365.0,3.0,0.0,20.0,2616.0,2478.0,5047.0,63.0,68.0,184.0,2763.0,2619.0,5381.0,44.0,9.0,67.0,2713.0,2373.0,5170.0,72.0,47.0,175.0,2948.0,2457.0,5518.0,55.0,7.0,63.0,3151.0,2824.0,5964.0,124.0,86.0,322.0,3328.0,2998.0,6385.0,49.0,6.0,57.0,3400.0,3477.0,6902.0,125.0,96.0,306.0,3641.0,3625.0,7288.0,57.0,8.0,70.0,3876.0,3903.0,7807.0,154.0,105.0,334.0,4161.0,4048.0,8257.0,27.0,9.0,38.0,3455.0,3134.0,6736.0,71.0,73.0,218.0,3605.0,3320.0,7036.0,24.0,6.0,26.0,2916.0,2829.0,5714.0,92.0,62.0,211.0,3046.0,2962.0,6036.0,14.0,0.0,16.0,2378.0,2442.0,4833.0,45.0,34.0,157.0,2516.0,2518.0,5018.0,9.0,0.0,14.0,1984.0,1958.0,3891.0,42.0,40.0,105.0,2075.0,2007.0,4099.0,0.0,0.0,0.0,1636.0,1800.0,3490.0,18.0,26.0,61.0,1718.0,1880.0,3659.0,4.0,0.0,5.0,4076.0,4528.0,8689.0,176.0,156.0,381.0,4340.0,4725.0,9120.0,407.0,179.0,643.0,41865.0,40841.0,82735.0,2003.0,1851.0,3856.0,44336.0,42939.0,87228.0,87228.0
Lara,39.0,34.0,104.0,1846.0,1844.0,3598.0,67.0,68.0,156.0,2073.0,2020.0,4008.0,61.0,43.0,110.0,1869.0,1841.0,3656.0,97.0,82.0,221.0,2069.0,2101.0,4019.0,38.0,47.0,88.0,1971.0,1974.0,3909.0,103.0,102.0,252.0,2136.0,2102.0,4303.0,35.0,50.0,111.0,2049.0,1863.0,3898.0,78.0,77.0,172.0,2193.0,2080.0,4298.0,42.0,25.0,99.0,2135.0,1942.0,4119.0,67.0,79.0,185.0,2342.0,2157.0,4494.0,43.0,35.0,102.0,2670.0,2482.0,5076.0,113.0,133.0,253.0,2940.0,2645.0,5520.0,31.0,15.0,69.0,2468.0,2221.0,4777.0,140.0,101.0,284.0,2699.0,2476.0,5221.0,39.0,11.0,59.0,2192.0,2233.0,4414.0,90.0,77.0,194.0,2398.0,2338.0,4743.0,19.0,10.0,33.0,1897.0,1927.0,3813.0,55.0,78.0,186.0,2035.0,2104.0,4185.0,15.0,4.0,26.0,2172.0,2078.0,4223.0,75.0,74.0,208.0,2313.0,2282.0,4558.0,3.0,8.0,23.0,1914.0,2097.0,4061.0,52.0,79.0,190.0,2091.0,2232.0,4308.0,3.0,3.0,24.0,1991.0,1997.0,4065.0,36.0,28.0,96.0,2118.0,2081.0,4266.0,0.0,8.0,12.0,1796.0,1940.0,3773.0,52.0,23.0,120.0,1898.0,2027.0,3991.0,6.0,14.0,48.0,5381.0,6416.0,11806.0,173.0,233.0,505.0,5638.0,6752.0,12436.0,695.0,705.0,1394.0,32470.0,32878.0,65343.0,1809.0,1863.0,3647.0,35036.0,35457.0,70442.0,70442.0
Laverton,6.0,14.0,20.0,3840.0,3623.0,7447.0,184.0,114.0,311.0,4094.0,3857.0,7933.0,0.0,13.0,26.0,3616.0,3301.0,6887.0,117.0,111.0,327.0,3815.0,3497.0,7331.0,12.0,12.0,27.0,2610.0,2476.0,5014.0,104.0,98.0,285.0,2797.0,2676.0,5373.0,8.0,9.0,32.0,2039.0,2001.0,3959.0,99.0,87.0,245.0,2183.0,2143.0,4305.0,24.0,7.0,31.0,3395.0,2543.0,5942.0,199.0,120.0,406.0,3677.0,2753.0,6469.0,37.0,0.0,41.0,4930.0,3797.0,8736.0,312.0,170.0,527.0,5337.0,4050.0,9370.0,23.0,0.0,32.0,4766.0,4975.0,9743.0,227.0,193.0,499.0,5109.0,5214.0,10419.0,28.0,0.0,34.0,5244.0,4716.0,9951.0,200.0,198.0,513.0,5521.0,5003.0,10541.0,22.0,0.0,21.0,3784.0,3070.0,6838.0,167.0,102.0,355.0,4077.0,3252.0,7277.0,9.0,5.0,14.0,2587.0,2228.0,4809.0,105.0,48.0,247.0,2778.0,2362.0,5197.0,0.0,4.0,4.0,2040.0,1987.0,4026.0,96.0,60.0,204.0,2189.0,2086.0,4271.0,4.0,0.0,10.0,1750.0,1696.0,3470.0,55.0,11.0,101.0,1897.0,1767.0,3629.0,5.0,0.0,4.0,1452.0,1687.0,3244.0,28.0,35.0,100.0,1508.0,1797.0,3415.0,0.0,0.0,3.0,3807.0,4531.0,8397.0,193.0,218.0,453.0,4012.0,4802.0,8876.0,298.0,184.0,554.0,45862.0,42610.0,88408.0,2854.0,2403.0,5183.0,48986.0,45179.0,94165.0,94165.0
Lowan,36.0,46.0,121.0,1649.0,1625.0,3259.0,39.0,41.0,131.0,1806.0,1832.0,3585.0,70.0,29.0,120.0,1783.0,1579.0,3387.0,90.0,70.0,215.0,1980.0,1809.0,3815.0,48.0,35.0,133.0,1868.0,1758.0,3647.0,95.0,68.0,202.0,2115.0,1929.0,4069.0,24.0,26.0,88.0,1756.0,1549.0,3332.0,96.0,76.0,212.0,1951.0,1729.0,3636.0,19.0,15.0,64.0,1570.0,1362.0,2950.0,49.0,66.0,141.0,1692.0,1510.0,3234.0,7.0,8.0,15.0,1703.0,1696.0,3385.0,76.0,32.0,164.0,1851.0,1806.0,3701.0,8.0,11.0,29.0,1648.0,1744.0,3431.0,74.0,41.0,178.0,1825.0,1912.0,3725.0,8.0,3.0,15.0,1572.0,1675.0,3233.0,42.0,46.0,138.0,1690.0,1822.0,3566.0,0.0,3.0,8.0,1578.0,1580.0,3133.0,45.0,41.0,111.0,1689.0,1705.0,3436.0,0.0,22.0,17.0,1735.0,1820.0,3591.0,74.0,50.0,151.0,1832.0,2039.0,3879.0,3.0,3.0,27.0,1944.0,2142.0,4003.0,64.0,42.0,187.0,2109.0,2298.0,4343.0,15.0,3.0,22.0,2298.0,2395.0,4656.0,99.0,58.0,221.0,2446.0,2524.0,5012.0,7.0,16.0,28.0,2523.0,2396.0,4959.0,79.0,79.0,231.0,2707.0,2617.0,5320.0,10.0,15.0,48.0,7567.0,8313.0,15902.0,510.0,609.0,1172.0,8167.0,8968.0,17208.0,601.0,578.0,1262.0,31128.0,31741.0,62830.0,2214.0,2138.0,4323.0,33926.0,34450.0,68431.0,68431.0
Macedon,21.0,14.0,44.0,1584.0,1562.0,3161.0,30.0,28.0,87.0,1691.0,1692.0,3368.0,38.0,13.0,59.0,2060.0,1974.0,4005.0,49.0,58.0,126.0,2223.0,2121.0,4282.0,14.0,10.0,31.0,2032.0,1997.0,4002.0,83.0,97.0,216.0,2169.0,2166.0,4291.0,9.0,0.0,17.0,1895.0,1688.0,3530.0,65.0,73.0,172.0,2028.0,1815.0,3815.0,0.0,7.0,15.0,1251.0,1061.0,2321.0,53.0,31.0,83.0,1337.0,1153.0,2503.0,14.0,0.0,10.0,1105.0,1112.0,2255.0,42.0,53.0,106.0,1194.0,1199.0,2438.0,4.0,0.0,13.0,1344.0,1512.0,2811.0,61.0,54.0,120.0,1500.0,1606.0,3028.0,3.0,4.0,9.0,1652.0,1892.0,3541.0,37.0,52.0,115.0,1754.0,1981.0,3686.0,16.0,7.0,18.0,1941.0,2121.0,4079.0,79.0,68.0,203.0,2068.0,2291.0,4310.0,0.0,0.0,6.0,2196.0,2373.0,4546.0,67.0,72.0,196.0,2319.0,2491.0,4779.0,4.0,3.0,16.0,2257.0,2514.0,4747.0,83.0,102.0,240.0,2433.0,2673.0,5070.0,0.0,0.0,6.0,2155.0,2297.0,4459.0,113.0,51.0,205.0,2324.0,2385.0,4729.0,0.0,0.0,0.0,2167.0,2276.0,4387.0,108.0,84.0,215.0,2316.0,2375.0,4680.0,3.0,7.0,15.0,6134.0,6387.0,12538.0,327.0,321.0,731.0,6541.0,6781.0,13305.0,328.0,232.0,572.0,29715.0,30733.0,60444.0,1613.0,1655.0,3278.0,31712.0,32670.0,64319.0,64319.0
Malvern,0.0,0.0,0.0,1327.0,1239.0,2590.0,26.0,36.0,69.0,1381.0,1299.0,2727.0,0.0,0.0,0.0,1465.0,1407.0,2865.0,27.0,25.0,59.0,1526.0,1465.0,2968.0,3.0,0.0,7.0,1655.0,1662.0,3311.0,23.0,19.0,65.0,1719.0,1716.0,3415.0,0.0,0.0,4.0,1697.0,1791.0,3446.0,31.0,21.0,73.0,1754.0,1868.0,3561.0,5.0,4.0,12.0,2123.0,2288.0,4413.0,42.0,59.0,89.0,2218.0,2411.0,4646.0,0.0,0.0,0.0,2458.0,2582.0,5100.0,44.0,31.0,138.0,2565.0,2725.0,5353.0,0.0,0.0,3.0,2124.0,2322.0,4418.0,51.0,32.0,150.0,2224.0,2456.0,4587.0,0.0,3.0,5.0,1993.0,2129.0,4167.0,39.0,39.0,126.0,2073.0,2209.0,4309.0,0.0,0.0,0.0,1690.0,1924.0,3612.0,13.0,24.0,106.0,1786.0,1999.0,3771.0,0.0,0.0,0.0,1745.0,2136.0,3892.0,6.0,48.0,108.0,1792.0,2183.0,4080.0,0.0,0.0,0.0,2045.0,2265.0,4341.0,26.0,23.0,79.0,2110.0,2350.0,4467.0,0.0,0.0,0.0,1691.0,2045.0,3664.0,24.0,12.0,65.0,1744.0,2092.0,3803.0,0.0,0.0,0.0,1599.0,1824.0,3429.0,25.0,15.0,77.0,1663.0,1882.0,3546.0,0.0,0.0,3.0,5357.0,6983.0,12371.0,224.0,275.0,574.0,5661.0,7339.0,12925.0,36.0,48.0,126.0,29154.0,32551.0,61697.0,1152.0,1164.0,2306.0,30353.0,33830.0,64134.0,64134.0
