district,R_1_74_LT_Real_estate_agent_n,R_1_74_LT_Ste_terr_hsg_auth_n,R_1_74_LT_com_hou_pro_n,R_1_74_LT_Psn_not_Sme_hhd_n,R_1_74_LT_Other_Lld_type_n,R_1_74_LT_Lld_type_ns_n,R_1_74_Tot_n,R_75_99_LT_Real_estate_agent_n,R_75_99_LT_Ste_terr_hsg_auth_n,R_75_99_LT_com_hou_pro_n,R_75_99_LT_Psn_not_Sme_hhd_n,R_75_99_LT_Other_Lld_type_n,R_75_99_LT_Lld_type_ns_n,R_75_99_Tot_n,R_100_149_LT_Real_eSte_agent_n,R_100_149_LT_St_ter_hsg_aut_n,R_100_149_LT_com_hou_pro_n,R_100_149_LT_Psn_not_Sme_hhd_n,R_100_149_LT_Other_Lld_type_n,R_100_149_LT_Lld_type_ns_n,R_100_149_Tot_n,R_150_199_LT_Real_eSte_agent_n,R_150_199_LT_Ste_ter_hsg_aut_n,R_150_199_LT_com_hou_pro_n,R_150_199_LT_Psn_not_Sme_hhd_n,R_150_199_LT_Other_Lld_type_n,R_150_199_LT_Lld_type_ns_n,R_150_199_Tot_n,R_200_224_LT_Real_eSte_agent_n,R_200_224_LT_Ste_ter_hsg_aut_n,R_200_224_LT_com_hou_pro_n,R_200_224_LT_Psn_not_Sme_hhd_n,R_200_224_LT_Other_Lld_type_n,R_200_224_LT_Lld_type_ns_n,R_200_224_Tot_n,R_225_274_LT_Real_eSte_agent_n,R_225_274_LT_Ste_ter_hsg_aut_n,R_225_274_LT_com_hou_pro_n,R_225_274_LT_Psn_not_Sme_hhd_n,R_225_274_LT_Other_Lld_type_n,R_225_274_LT_Lld_type_ns_n,R_225_274_Tot_n,R_275_349_LT_Real_eSte_agent_n,R_275_349_LT_Ste_ter_hsg_aut_n,R_275_349_LT_com_hou_pro_n,R_275_349_LT_Psn_not_Sme_hhd_n,R_275_349_LT_Other_Lld_type_n,R_275_349_LT_Lld_type_ns_n,R_275_349_Tot_n,R_350_449_LT_Real_eSte_agent_n,R_350_449_LT_Ste_ter_hsg_aut_n,R_350_449_LT_com_hou_pro_n,R_350_449_LT_Psn_not_Sme_hhd_n,R_350_449_LT_Other_Lld_type_n,R_350_449_LT_Lld_type_ns_n,R_350_449_Tot_n,R_450_549_LT_Real_eSte_agent_n,R_450_549_LT_Ste_ter_hsg_aut_n,R_450_549_LT_com_hou_pro_n,R_450_549_LT_Psn_not_Sme_hhd_n,R_450_549_LT_Other_Lld_type_n,R_450_549_LT_Lld_type_ns_n,R_450_549_Tot_n,R_550_649_LT_Real_eSte_agent_n,R_550_649_LT_Ste_ter_hsg_aut_n,R_550_649_LT_com_hou_pro_n,R_550_649_LT_Psn_not_Sme_hhd_n,R_550_649_LT_Other_Lld_type_n,R_550_649_LT_Lld_type_ns_n,R_550_649_Tot_n,R_650_749_LT_Real_eSte_agent_n,R_650_749_LT_Ste_ter_hsg_aut_n,R_650_749_LT_com_hou_pro_n,R_650_749_LT_Psn_not_Sme_hhd_n,R_650_749_LT_Other_Lld_type_n,R_650_749_LT_Lld_type_ns_n,R_650_749_Tot_n,R_750_849_LT_Real_eSte_agent_n,R_750_849_LT_Ste_ter_hsg_aut_n,R_750_849_LT_com_hou_pro_n,R_750_849_LT_Psn_not_Sme_hhd_n,R_750_849_LT_Other_Lld_type_n,R_750_849_LT_Lld_type_ns_n,R_750_849_Tot_n,R_850_949_LT_Real_estat_agent_n,R_850_949_LT_Ste_ter_hsg_aut_n,R_850_949_LT_com_hou_pro_n,R_850_949_LT_Psn_not_Sme_hhd_n,R_850_949_LT_Other_Lld_type_n,R_850_949_LT_Lld_type_ns_n,R_850_949_Tot_n,R_950_over_LT_Real_eSte_agent_n,R_950_over_LT_Ste_ter_hsg_aut_n,R_950_ovr_LT_com_hou_pro_n,R_950_over_LT_Psn_not_Sme_hhd_n,R_950_over_LT_Other_Lld_type_n,R_950_over_LT_Lld_type_ns_n,R_950_over_Tot_n,Rent_ns_LT_Real_eSte_agent_n,Rent_ns_LT_Ste_ter_hsg_auth_n,Rent_ns_LT_com_hou_pro_n,Rent_ns_LT_Psn_not_Sme_hhd_n,Rent_ns_LT_Other_Lld_type_n,Rent_ns_LT_Lld_type_ns_n,Rent_ns_Tot_n,Tot_LT_Real_eSte_agent_n,Tot_LT_Ste_ter_hsg_auth_n,Tot_LT_com_hou_pro_n,Tot_LT_Psn_not_Sme_hhd_n,Tot_LT_Other_Lld_type_n,Tot_LT_Lld_type_ns_n,Tot_Tot_n,Tot_Tot_total
Malvern,0.0,13.0,0.0,0.0,0.0,0.0,24.0,0.0,8.0,0.0,3.0,0.0,0.0,11.0,3.0,38.0,32.0,7.0,0.0,0.0,125.0,32.0,8.0,51.0,21.0,9.0,3.0,172.0,32.0,3.0,26.0,6.0,0.0,0.0,103.0,216.0,4.0,30.0,49.0,0.0,0.0,343.0,1079.0,6.0,0.0,99.0,0.0,0.0,1258.0,2041.0,4.0,0.0,167.0,0.0,0.0,2317.0,1243.0,0.0,0.0,131.0,0.0,0.0,1435.0,740.0,0.0,0.0,31.0,0.0,0.0,839.0,410.0,0.0,0.0,17.0,0.0,0.0,482.0,305.0,0.0,0.0,29.0,0.0,0.0,362.0,159.0,0.0,0.0,0.0,0.0,0.0,193.0,474.0,0.0,0.0,15.0,4.0,0.0,515.0,88.0,0.0,0.0,36.0,8.0,0.0,217.0,7145.0,131.0,172.0,1158.0,58.0,17.0,8727.0,8727.0
Melbourne,7.0,40.0,0.0,4.0,0.0,0.0,74.0,0.0,166.0,0.0,0.0,0.0,0.0,175.0,32.0,715.0,25.0,53.0,0.0,0.0,875.0,294.0,234.0,93.0,148.0,11.0,0.0,960.0,420.0,147.0,67.0,130.0,8.0,0.0,908.0,1482.0,141.0,61.0,275.0,24.0,0.0,2064.0,6628.0,148.0,54.0,576.0,57.0,0.0,7553.0,10940.0,77.0,50.0,785.0,62.0,0.0,12028.0,5344.0,9.0,5.0,508.0,22.0,0.0,5973.0,2086.0,5.0,0.0,190.0,0.0,0.0,2434.0,1088.0,0.0,0.0,86.0,6.0,0.0,1209.0,527.0,0.0,0.0,49.0,0.0,0.0,641.0,281.0,0.0,0.0,19.0,0.0,0.0,342.0,537.0,0.0,0.0,54.0,0.0,0.0,723.0,370.0,124.0,9.0,234.0,12.0,4.0,984.0,30665.0,1955.0,472.0,3836.0,431.0,39.0,37561.0,37561.0
Melton,5.0,5.0,0.0,0.0,0.0,0.0,22.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,5.0,77.0,0.0,0.0,0.0,0.0,133.0,6.0,38.0,15.0,19.0,5.0,0.0,160.0,10.0,8.0,0.0,22.0,1.0,0.0,82.0,315.0,10.0,4.0,82.0,0.0,0.0,482.0,2684.0,0.0,9.0,403.0,29.0,5.0,3167.0,2357.0,4.0,12.0,173.0,35.0,3.0,2648.0,69.0,0.0,0.0,9.0,0.0,0.0,95.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,51.0,10.0,5.0,34.0,3.0,4.0,173.0,5787.0,298.0,87.0,1021.0,135.0,23.0,7447.0,7447.0
Mildura,0.0,34.0,11.0,11.0,49.0,3.0,136.0,0.0,41.0,15.0,6.0,25.0,0.0,101.0,55.0,269.0,36.0,130.0,106.0,10.0,740.0,216.0,166.0,59.0,269.0,40.0,0.0,884.0,322.0,61.0,3.0,208.0,14.0,4.0,733.0,690.0,56.0,32.0,289.0,33.0,5.0,1212.0,1215.0,26.0,20.0,276.0,29.0,0.0,1642.0,711.0,5.0,6.0,160.0,11.0,0.0,1015.0,90.0,0.0,0.0,16.0,0.0,0.0,140.0,9.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,0.0,32.0,54.0,25.0,296.0,3679.0,838.0,215.0,1865.0,584.0,83.0,7378.0,7378.0
Mill Park,7.0,4.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,3.0,0.0,0.0,39.0,0.0,16.0,0.0,7.0,0.0,0.0,37.0,0.0,0.0,0.0,3.0,0.0,0.0,25.0,19.0,0.0,4.0,31.0,6.0,0.0,65.0,871.0,7.0,0.0,137.0,22.0,0.0,1139.0,2673.0,17.0,0.0,151.0,28.0,0.0,2961.0,309.0,0.0,0.0,10.0,0.0,0.0,356.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,71.0,3.0,0.0,25.0,0.0,0.0,156.0,4153.0,162.0,14.0,605.0,106.0,8.0,5166.0,5166.0
Monbulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,57.0,0.0,11.0,0.0,0.0,99.0,6.0,3.0,0.0,14.0,0.0,0.0,41.0,4.0,0.0,0.0,26.0,0.0,0.0,49.0,21.0,0.0,8.0,9.0,6.0,0.0,96.0,217.0,0.0,5.0,96.0,3.0,0.0,402.0,608.0,0.0,0.0,140.0,3.0,0.0,902.0,289.0,0.0,0.0,26.0,1.0,0.0,368.0,54.0,0.0,0.0,3.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,19.0,0.0,0.0,44.0,1557.0,109.0,21.0,719.0,25.0,5.0,2517.0,2517.0
Mordialloc,0.0,6.0,0.0,0.0,0.0,0.0,12.0,0.0,14.0,0.0,0.0,0.0,0.0,22.0,0.0,135.0,0.0,6.0,0.0,0.0,172.0,12.0,26.0,11.0,16.0,3.0,0.0,94.0,4.0,9.0,3.0,30.0,0.0,0.0,75.0,108.0,8.0,0.0,35.0,0.0,0.0,190.0,530.0,7.0,0.0,111.0,0.0,0.0,712.0,1324.0,6.0,0.0,112.0,0.0,0.0,1468.0,1104.0,0.0,0.0,72.0,0.0,0.0,1199.0,590.0,0.0,0.0,15.0,0.0,0.0,636.0,230.0,0.0,0.0,3.0,0.0,0.0,253.0,66.0,0.0,0.0,7.0,0.0,0.0,77.0,24.0,0.0,0.0,0.0,0.0,0.0,27.0,19.0,0.0,0.0,0.0,0.0,0.0,36.0,49.0,27.0,0.0,20.0,0.0,0.0,164.0,4293.0,367.0,36.0,738.0,10.0,3.0,5603.0,5603.0
Mornington,0.0,6.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,139.0,0.0,4.0,0.0,0.0,174.0,0.0,28.0,0.0,9.0,5.0,0.0,64.0,4.0,14.0,0.0,13.0,0.0,0.0,43.0,16.0,9.0,0.0,20.0,17.0,0.0,76.0,208.0,14.0,0.0,88.0,7.0,0.0,373.0,662.0,4.0,0.0,135.0,0.0,0.0,854.0,659.0,4.0,0.0,66.0,0.0,0.0,762.0,321.0,0.0,0.0,12.0,0.0,0.0,354.0,181.0,0.0,0.0,9.0,0.0,0.0,205.0,62.0,0.0,0.0,8.0,0.0,0.0,72.0,29.0,0.0,0.0,0.0,0.0,0.0,29.0,61.0,0.0,0.0,0.0,0.0,0.0,78.0,21.0,12.0,0.0,19.0,9.0,0.0,112.0,2531.0,327.0,3.0,598.0,53.0,15.0,3635.0,3635.0
Morwell,0.0,57.0,5.0,9.0,0.0,0.0,77.0,0.0,69.0,6.0,0.0,3.0,0.0,102.0,112.0,474.0,31.0,47.0,15.0,3.0,743.0,635.0,174.0,41.0,196.0,12.0,0.0,1146.0,629.0,96.0,20.0,221.0,9.0,0.0,1077.0,1057.0,79.0,33.0,243.0,20.0,0.0,1555.0,1135.0,8.0,7.0,159.0,8.0,0.0,1422.0,513.0,3.0,2.0,37.0,3.0,0.0,689.0,132.0,0.0,0.0,0.0,0.0,0.0,138.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,49.0,6.0,33.0,5.0,4.0,231.0,4573.0,1126.0,234.0,1340.0,123.0,37.0,7534.0,7534.0
Mulgrave,0.0,6.0,0.0,0.0,0.0,0.0,27.0,0.0,25.0,0.0,0.0,4.0,0.0,36.0,8.0,126.0,0.0,36.0,0.0,0.0,218.0,49.0,44.0,0.0,45.0,48.0,0.0,232.0,66.0,11.0,0.0,20.0,12.0,0.0,156.0,345.0,13.0,3.0,64.0,17.0,0.0,523.0,1089.0,0.0,4.0,219.0,38.0,0.0,1463.0,2235.0,20.0,3.0,285.0,40.0,0.0,2682.0,1018.0,0.0,0.0,78.0,8.0,0.0,1193.0,220.0,0.0,0.0,18.0,3.0,0.0,260.0,61.0,0.0,0.0,0.0,0.0,0.0,73.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,20.0,71.0,14.0,0.0,71.0,15.0,4.0,350.0,5500.0,441.0,37.0,1187.0,310.0,7.0,7731.0,7731.0
Murray Plains,0.0,13.0,0.0,8.0,3.0,0.0,33.0,0.0,62.0,12.0,4.0,10.0,0.0,108.0,78.0,293.0,18.0,106.0,32.0,0.0,678.0,356.0,138.0,16.0,202.0,41.0,0.0,911.0,262.0,54.0,0.0,221.0,12.0,0.0,674.0,566.0,50.0,0.0,201.0,25.0,0.0,992.0,636.0,8.0,3.0,140.0,15.0,0.0,961.0,416.0,0.0,0.0,77.0,4.0,0.0,567.0,96.0,0.0,0.0,12.0,0.0,0.0,106.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,24.0,46.0,4.0,61.0,11.0,0.0,299.0,2753.0,803.0,95.0,1545.0,370.0,20.0,5721.0,5721.0
Narracan,0.0,16.0,0.0,6.0,4.0,0.0,31.0,5.0,3.0,7.0,0.0,0.0,0.0,13.0,4.0,124.0,10.0,20.0,10.0,0.0,224.0,24.0,35.0,6.0,43.0,12.0,0.0,218.0,48.0,11.0,0.0,81.0,3.0,0.0,216.0,235.0,12.0,0.0,103.0,3.0,0.0,462.0,878.0,25.0,0.0,177.0,0.0,0.0,1207.0,1132.0,0.0,3.0,112.0,3.0,0.0,1349.0,128.0,0.0,0.0,6.0,4.0,0.0,167.0,13.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,13.0,18.0,0.0,40.0,17.0,0.0,170.0,2796.0,282.0,28.0,1008.0,155.0,11.0,4438.0,4438.0
Narre Warren North,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0,0.0,119.0,0.0,8.0,0.0,0.0,148.0,0.0,60.0,3.0,8.0,0.0,0.0,100.0,9.0,21.0,0.0,3.0,12.0,0.0,72.0,22.0,7.0,0.0,24.0,43.0,0.0,134.0,847.0,15.0,0.0,215.0,35.0,0.0,1206.0,2416.0,28.0,0.0,238.0,35.0,0.0,2870.0,304.0,0.0,0.0,30.0,0.0,0.0,390.0,23.0,0.0,0.0,0.0,0.0,0.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,36.0,17.0,0.0,38.0,5.0,0.0,228.0,3950.0,406.0,15.0,870.0,180.0,0.0,5593.0,5593.0
Narre Warren South,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,3.0,6.0,0.0,0.0,93.0,0.0,29.0,8.0,19.0,0.0,0.0,79.0,0.0,3.0,5.0,4.0,0.0,0.0,31.0,0.0,9.0,21.0,38.0,0.0,0.0,134.0,801.0,16.0,0.0,202.0,13.0,0.0,1086.0,2861.0,6.0,4.0,269.0,31.0,0.0,3381.0,488.0,0.0,0.0,32.0,0.0,0.0,565.0,21.0,0.0,0.0,0.0,0.0,0.0,41.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,6.0,53.0,0.0,0.0,21.0,0.0,3.0,179.0,4511.0,271.0,52.0,937.0,117.0,3.0,6025.0,6025.0
Nepean,0.0,0.0,0.0,12.0,3.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,68.0,3.0,16.0,10.0,0.0,134.0,4.0,15.0,4.0,28.0,10.0,0.0,119.0,16.0,3.0,8.0,31.0,5.0,0.0,75.0,120.0,7.0,0.0,87.0,0.0,0.0,310.0,888.0,0.0,7.0,219.0,27.0,0.0,1197.0,1560.0,0.0,0.0,178.0,0.0,0.0,1847.0,571.0,0.0,0.0,58.0,0.0,0.0,720.0,212.0,0.0,0.0,6.0,0.0,0.0,253.0,95.0,0.0,0.0,0.0,0.0,0.0,110.0,14.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,33.0,0.0,0.0,4.0,0.0,0.0,44.0,22.0,3.0,0.0,61.0,6.0,3.0,163.0,3871.0,166.0,30.0,1094.0,116.0,14.0,5413.0,5413.0
Niddrie,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,46.0,4.0,0.0,1.0,0.0,59.0,5.0,17.0,9.0,10.0,0.0,0.0,51.0,0.0,9.0,0.0,12.0,5.0,0.0,30.0,28.0,5.0,0.0,22.0,5.0,0.0,92.0,458.0,0.0,0.0,128.0,0.0,0.0,623.0,1730.0,0.0,0.0,209.0,3.0,0.0,2031.0,966.0,0.0,0.0,83.0,0.0,0.0,1094.0,348.0,0.0,0.0,3.0,0.0,0.0,360.0,117.0,0.0,0.0,0.0,0.0,0.0,117.0,34.0,0.0,0.0,0.0,0.0,0.0,39.0,18.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,18.0,36.0,11.0,0.0,18.0,0.0,0.0,129.0,4052.0,148.0,15.0,745.0,28.0,3.0,5058.0,5058.0
Northcote,0.0,22.0,4.0,0.0,0.0,0.0,30.0,0.0,42.0,17.0,0.0,0.0,0.0,58.0,0.0,326.0,22.0,7.0,0.0,0.0,429.0,22.0,72.0,21.0,28.0,8.0,0.0,200.0,62.0,24.0,8.0,15.0,0.0,0.0,188.0,428.0,28.0,8.0,44.0,0.0,0.0,565.0,1515.0,19.0,14.0,172.0,0.0,0.0,1784.0,2098.0,22.0,4.0,270.0,3.0,0.0,2463.0,1586.0,0.0,0.0,171.0,0.0,0.0,1818.0,1179.0,0.0,0.0,100.0,0.0,0.0,1332.0,642.0,0.0,0.0,51.0,0.0,0.0,736.0,308.0,0.0,0.0,3.0,0.0,0.0,369.0,115.0,0.0,0.0,0.0,0.0,0.0,130.0,132.0,0.0,0.0,0.0,0.0,0.0,167.0,51.0,56.0,4.0,42.0,2.0,3.0,281.0,8429.0,746.0,176.0,1335.0,47.0,7.0,10891.0,10891.0
Oakleigh,3.0,9.0,0.0,3.0,0.0,0.0,56.0,0.0,18.0,0.0,0.0,0.0,0.0,20.0,22.0,192.0,11.0,43.0,0.0,0.0,340.0,75.0,29.0,12.0,93.0,14.0,0.0,344.0,70.0,18.0,12.0,41.0,5.0,0.0,223.0,492.0,9.0,15.0,74.0,5.0,0.0,681.0,1785.0,8.0,6.0,181.0,9.0,0.0,2146.0,4037.0,8.0,3.0,359.0,22.0,0.0,4553.0,2454.0,0.0,0.0,195.0,3.0,0.0,2836.0,1068.0,0.0,0.0,34.0,0.0,0.0,1199.0,400.0,0.0,0.0,8.0,0.0,0.0,498.0,124.0,0.0,0.0,3.0,0.0,0.0,152.0,25.0,0.0,0.0,0.0,0.0,0.0,28.0,37.0,0.0,0.0,11.0,0.0,0.0,74.0,104.0,9.0,0.0,91.0,6.0,3.0,386.0,11169.0,473.0,122.0,1860.0,170.0,7.0,13989.0,13989.0
Ovens Valley,0.0,24.0,3.0,0.0,6.0,0.0,40.0,0.0,13.0,4.0,3.0,0.0,0.0,24.0,21.0,253.0,23.0,35.0,14.0,0.0,449.0,189.0,114.0,39.0,151.0,22.0,0.0,616.0,182.0,34.0,6.0,144.0,3.0,0.0,485.0,647.0,43.0,7.0,225.0,3.0,0.0,1003.0,792.0,3.0,4.0,198.0,8.0,0.0,1140.0,693.0,0.0,0.0,90.0,0.0,0.0,884.0,104.0,0.0,0.0,10.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,45.0,3.0,37.0,11.0,0.0,187.0,2970.0,618.0,107.0,1327.0,179.0,0.0,5339.0,5339.0
Pakenham,0.0,6.0,0.0,0.0,0.0,0.0,17.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,3.0,39.0,0.0,9.0,3.0,0.0,83.0,6.0,23.0,0.0,21.0,7.0,0.0,91.0,0.0,7.0,0.0,14.0,0.0,0.0,51.0,59.0,0.0,17.0,49.0,19.0,0.0,178.0,1638.0,6.0,0.0,206.0,3.0,0.0,1895.0,3833.0,0.0,0.0,254.0,7.0,0.0,4192.0,333.0,0.0,0.0,9.0,0.0,0.0,356.0,34.0,0.0,0.0,0.0,0.0,0.0,38.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,115.0,3.0,0.0,22.0,4.0,0.0,188.0,6296.0,147.0,27.0,827.0,65.0,9.0,7497.0,7497.0
Pascoe Vale,0.0,12.0,0.0,0.0,0.0,0.0,22.0,0.0,16.0,0.0,0.0,0.0,0.0,19.0,0.0,209.0,0.0,5.0,0.0,0.0,244.0,35.0,47.0,4.0,32.0,0.0,0.0,157.0,29.0,12.0,3.0,25.0,0.0,0.0,112.0,155.0,33.0,13.0,33.0,0.0,0.0,277.0,1117.0,3.0,0.0,192.0,0.0,0.0,1398.0,2862.0,16.0,0.0,230.0,8.0,0.0,3279.0,1615.0,0.0,0.0,164.0,0.0,0.0,1856.0,723.0,0.0,0.0,54.0,0.0,0.0,791.0,240.0,0.0,0.0,10.0,0.0,0.0,276.0,28.0,0.0,0.0,4.0,0.0,0.0,42.0,12.0,8.0,0.0,4.0,0.0,0.0,24.0,27.0,0.0,0.0,0.0,0.0,0.0,38.0,90.0,24.0,0.0,31.0,3.0,3.0,262.0,7282.0,504.0,81.0,1212.0,50.0,12.0,9297.0,9297.0
Point Cook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,33.0,4.0,15.0,0.0,0.0,63.0,0.0,10.0,6.0,11.0,0.0,0.0,44.0,0.0,8.0,0.0,7.0,0.0,0.0,52.0,30.0,8.0,0.0,17.0,26.0,0.0,140.0,914.0,0.0,0.0,119.0,29.0,3.0,1118.0,4863.0,3.0,0.0,174.0,3.0,0.0,5203.0,1189.0,0.0,0.0,26.0,0.0,0.0,1254.0,236.0,0.0,0.0,3.0,0.0,0.0,254.0,26.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,14.0,95.0,0.0,0.0,26.0,4.0,0.0,282.0,7685.0,179.0,13.0,731.0,133.0,10.0,8951.0,8951.0
Polwarth,0.0,3.0,0.0,4.0,15.0,0.0,25.0,0.0,7.0,0.0,0.0,3.0,0.0,18.0,24.0,134.0,7.0,87.0,33.0,0.0,390.0,52.0,42.0,8.0,115.0,8.0,0.0,293.0,83.0,15.0,0.0,154.0,12.0,0.0,317.0,304.0,38.0,6.0,201.0,17.0,7.0,658.0,516.0,0.0,0.0,193.0,11.0,0.0,761.0,552.0,0.0,0.0,151.0,5.0,0.0,759.0,552.0,0.0,0.0,107.0,3.0,0.0,672.0,395.0,0.0,0.0,21.0,0.0,0.0,427.0,98.0,0.0,0.0,4.0,0.0,0.0,100.0,34.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,7.0,17.0,25.0,0.0,61.0,45.0,0.0,243.0,2855.0,360.0,61.0,1427.0,263.0,18.0,5115.0,5115.0
Prahran,0.0,41.0,0.0,3.0,0.0,0.0,53.0,0.0,78.0,0.0,0.0,0.0,0.0,86.0,12.0,497.0,7.0,21.0,0.0,0.0,599.0,20.0,156.0,47.0,43.0,0.0,0.0,303.0,86.0,47.0,12.0,33.0,0.0,0.0,255.0,591.0,93.0,27.0,104.0,0.0,0.0,917.0,2934.0,50.0,19.0,321.0,0.0,0.0,3442.0,5579.0,29.0,6.0,487.0,4.0,0.0,6159.0,3869.0,12.0,0.0,361.0,0.0,0.0,4354.0,1932.0,0.0,0.0,140.0,0.0,0.0,2104.0,1004.0,0.0,0.0,69.0,0.0,0.0,1096.0,489.0,0.0,0.0,42.0,0.0,0.0,590.0,271.0,0.0,0.0,7.0,0.0,0.0,318.0,522.0,0.0,0.0,39.0,0.0,0.0,597.0,149.0,97.0,4.0,65.0,13.0,3.0,451.0,17847.0,1150.0,172.0,2378.0,62.0,6.0,21762.0,21762.0
Preston,0.0,56.0,7.0,0.0,0.0,4.0,73.0,0.0,44.0,3.0,0.0,0.0,0.0,60.0,0.0,545.0,11.0,27.0,4.0,0.0,642.0,28.0,169.0,10.0,56.0,0.0,0.0,351.0,61.0,63.0,22.0,28.0,6.0,0.0,266.0,238.0,65.0,7.0,58.0,9.0,0.0,466.0,1770.0,57.0,3.0,267.0,4.0,0.0,2261.0,3621.0,71.0,3.0,348.0,21.0,0.0,4143.0,1337.0,0.0,0.0,85.0,0.0,0.0,1541.0,335.0,0.0,0.0,25.0,0.0,0.0,424.0,68.0,0.0,0.0,0.0,0.0,0.0,93.0,26.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,30.0,100.0,94.0,4.0,32.0,4.0,6.0,347.0,7864.0,1303.0,127.0,1385.0,164.0,33.0,11071.0,11071.0
