district,M_0_4_yrs_Need_for_assistance_pc,M_0_4_No_need_for_assistance_pc,M_0_4_Need_for_assistance_ns_pc,M_0_4_yrs_Tot_pc,M_5_14_Need_for_assistance_pc,M_5_14_No_need_for_assistance_pc,M_5_14_Need_for_assistance_ns_pc,M_5_14_yrs_Tot_pc,M_15_19_Need_for_assistance_pc,M_15_19_No_need_for_assistnce_pc,M_15_19_Need_for_assistnce_ns_pc,M_15_19_yrs_Tot_pc,M_20_24_Need_for_assistance_pc,M_20_24_No_need_for_assistnce_pc,M_20_24_Need_for_assistnce_ns_pc,M_20_24_yrs_Tot_pc,M_25_34_Need_for_assistance_pc,M_25_34_No_need_for_assistnce_pc,M_25_34_Need_for_assistnce_ns_pc,M_25_34_yrs_Tot_pc,M_35_44_Need_for_assistance_pc,M_35_44_No_need_for_assistnce_pc,M_35_44_Need_for_assistnce_ns_pc,M_35_44_yrs_Tot_pc,M_45_54_Need_for_assistance_pc,M_45_54_No_need_for_assistnce_pc,M_45_54_Need_for_assistnce_ns_pc,M_45_54_yrs_Tot_pc,M_55_64_Need_for_assistance_pc,M_55_64_No_need_for_assistnce_pc,M_55_64_Need_for_assistnce_ns_pc,M_55_64_yrs_Tot_pc,M_65_74_Need_for_assistance_pc,M_65_74_No_need_for_assistnce_pc,M_65_74_Need_for_assistnce_ns_pc,M_65_74_yrs_Tot_pc,M_75_84_Need_for_assistance_pc,M_75_84_No_need_for_assistnce_pc,M_75_84_Need_for_assistnce_ns_pc,M_75_84_yrs_Tot_pc,M_85_over_Need_for_assistance_pc,M_85_ov_No_need_for_assistnce_pc,M_85_ov_Need_for_assistnce_ns_pc,M_85_yrs_over_Tot_pc,M_Tot_Need_for_assistance_pc,M_Tot_No_need_for_assistance_pc,M_Tot_Need_for_assistance_ns_pc,M_Tot_Tot_pc,F_0_4_yrs_Need_for_assistance_pc,F_0_4_No_need_for_assistance_pc,F_0_4_Need_for_assistance_ns_pc,F_0_4_yrs_Tot_pc,F_5_14_Need_for_assistance_pc,F_5_14_No_need_for_assistance_pc,F_5_14_Need_for_assistance_ns_pc,F_5_14_yrs_Tot_pc,F_15_19_Need_for_assistance_pc,F_15_19_No_need_for_assistnce_pc,F_15_19_Need_for_assistnce_ns_pc,F_15_19_yrs_Tot_pc,F_20_24_Need_for_assistance_pc,F_20_24_No_need_for_assistnce_pc,F_20_24_Need_for_assistnce_ns_pc,F_20_24_yrs_Tot_pc,F_25_34_Need_for_assistance_pc,F_25_34_No_need_for_assistnce_pc,F_25_34_Need_for_assistnce_ns_pc,F_25_34_yrs_Tot_pc,F_35_44_Need_for_assistance_pc,F_35_44_No_need_for_assistnce_pc,F_35_44_Need_for_assistnce_ns_pc,F_35_44_yrs_Tot_pc,F_45_54_Need_for_assistance_pc,F_45_54_No_need_for_assistnce_pc,F_45_54_Need_for_assistnce_ns_pc,F_45_54_yrs_Tot_pc,F_55_64_Need_for_assistance_pc,F_55_64_No_need_for_assistnce_pc,F_55_64_Need_for_assistnce_ns_pc,F_55_64_yrs_Tot_pc,F_65_74_Need_for_assistance_pc,F_65_74_No_need_for_assistnce_pc,F_65_74_Need_for_assistnce_ns_pc,F_65_74_yrs_Tot_pc,F_75_84_Need_for_assistance_pc,F_75_84_No_need_for_assistnce_pc,F_75_84_Need_for_assistnce_ns_pc,F_75_84_yrs_Tot_pc,F_85_over_Need_for_assistance_pc,F_85_ov_No_need_for_assistnce_pc,F_85_ov_Need_for_assistnce_ns_pc,F_85_yrs_over_Tot_pc,F_Tot_Need_for_assistance_pc,F_Tot_No_need_for_assistance_pc,F_Tot_Need_for_assistance_ns_pc,F_Tot_Tot_pc,P_0_4_yrs_Need_for_assistance_pc,P_0_4_No_need_for_assistance_pc,P_0_4_Need_for_assistance_ns_pc,P_0_4_yrs_Tot_pc,P_5_14_Need_for_assistance_pc,P_5_14_No_need_for_assistance_pc,P_5_14_Need_for_assistance_ns_pc,P_5_14_yrs_Tot_pc,P_15_19_Need_for_assistance_pc,P_15_19_No_need_for_assistnce_pc,P_15_19_Need_for_assistnce_ns_pc,P_15_19_yrs_Tot_pc,P_20_24_Need_for_assistance_pc,P_20_24_No_need_for_assistnce_pc,P_20_24_Need_for_assistnce_ns_pc,P_20_24_yrs_Tot_pc,P_25_34_Need_for_assistance_pc,P_25_34_No_need_for_assistnce_pc,P_25_34_Need_for_assistnce_ns_pc,P_25_34_yrs_Tot_pc,P_35_44_Need_for_assistance_pc,P_35_44_No_need_for_assistnce_pc,P_35_44_Need_for_assistnce_ns_pc,P_35_44_yrs_Tot_pc,P_45_54_Need_for_assistance_pc,P_45_54_No_need_for_assistnce_pc,P_45_54_Need_for_assistnce_ns_pc,P_45_54_yrs_Tot_pc,P_55_64_Need_for_assistance_pc,P_55_64_No_need_for_assistnce_pc,P_55_64_Need_for_assistnce_ns_pc,P_55_64_yrs_Tot_pc,P_65_74_Need_for_assistance_pc,P_65_74_No_need_for_assistnce_pc,P_65_74_Need_for_assistnce_ns_pc,P_65_74_yrs_Tot_pc,P_75_84_Need_for_assistance_pc,P_75_84_No_need_for_assistnce_pc,P_75_84_Need_for_assistnce_ns_pc,P_75_84_yrs_Tot_pc,P_85_over_Need_for_assistance_pc,P_85_ov_No_need_for_assistnce_pc,P_85_ov_Need_for_assistnce_ns_pc,P_85_yrs_over_Tot_pc,P_Tot_Need_for_assistance_pc,P_Tot_No_need_for_assistance_pc,P_Tot_Need_for_assistance_ns_pc,P_Tot_Tot_pc
Kororoit,0.0003,0.0333,0.0015,0.0364,0.0032,0.0702,0.0046,0.0786,0.0004,0.0282,0.0016,0.0317,0.0002,0.028,0.0041,0.0338,0.0006,0.066,0.0124,0.0808,0.0007,0.0774,0.0103,0.0891,0.0014,0.0549,0.0048,0.0632,0.0029,0.0374,0.0026,0.044,0.005,0.0252,0.0013,0.0318,0.004,0.0085,0.0006,0.0142,0.001,0.001,0.0003,0.0025,0.0253,0.4315,0.0514,0.5083,0.0,0.0327,0.0016,0.0355,0.0013,0.069,0.0043,0.0751,0.0003,0.0278,0.001,0.03,0.0001,0.0264,0.0014,0.0282,0.0004,0.0697,0.0056,0.0772,0.001,0.0783,0.0042,0.0855,0.002,0.0562,0.0025,0.0628,0.0029,0.0381,0.0017,0.0444,0.0065,0.0266,0.0007,0.0354,0.0052,0.0079,0.0005,0.0145,0.0017,0.001,0.0003,0.0035,0.028,0.4339,0.0308,0.4923,0.0005,0.0655,0.004,0.0712,0.0059,0.139,0.0091,0.1543,0.0011,0.0559,0.0035,0.0617,0.0003,0.0547,0.0063,0.0633,0.0018,0.1358,0.0197,0.1571,0.0023,0.1556,0.0158,0.1754,0.0045,0.1122,0.0094,0.1272,0.0071,0.075,0.005,0.0881,0.0125,0.0518,0.0021,0.0681,0.0104,0.0165,0.0015,0.0285,0.0033,0.0022,0.0007,0.0067,0.0541,0.8651,0.0814,1.0
Lara,0.0004,0.0264,0.0014,0.0294,0.0055,0.0496,0.0034,0.0601,0.0013,0.0271,0.0014,0.0311,0.001,0.0281,0.0026,0.0332,0.0013,0.0665,0.0109,0.0794,0.0009,0.0528,0.0079,0.063,0.0025,0.0537,0.0049,0.063,0.0038,0.0488,0.0038,0.0575,0.0046,0.039,0.0015,0.0456,0.0055,0.0165,0.0009,0.0248,0.0031,0.0043,0.0001,0.009,0.0371,0.4146,0.0456,0.4974,0.0,0.0269,0.0016,0.0287,0.0017,0.0523,0.0036,0.0593,0.0006,0.0268,0.0012,0.0295,0.0003,0.0277,0.0011,0.0306,0.0012,0.0667,0.004,0.0736,0.0016,0.0566,0.0033,0.0633,0.0025,0.0569,0.0031,0.0641,0.004,0.051,0.0013,0.0589,0.0061,0.0432,0.0019,0.0521,0.0082,0.0196,0.001,0.0299,0.0086,0.0039,0.0003,0.0135,0.0423,0.4311,0.03,0.5034,0.0005,0.0517,0.0032,0.0569,0.0084,0.101,0.0084,0.1186,0.0023,0.054,0.0034,0.061,0.0017,0.0566,0.0045,0.0638,0.0033,0.1333,0.015,0.1527,0.003,0.109,0.0122,0.1263,0.0064,0.1101,0.0092,0.1265,0.0089,0.0995,0.0059,0.1156,0.0116,0.0807,0.0047,0.0985,0.0147,0.037,0.0024,0.0557,0.0126,0.0082,0.0008,0.0232,0.079,0.8452,0.0759,1.0
Laverton,0.0001,0.0396,0.0028,0.0435,0.0028,0.0616,0.0045,0.0704,0.0002,0.0199,0.0016,0.0232,0.0002,0.0328,0.0047,0.039,0.0006,0.0974,0.0123,0.1109,0.0006,0.0907,0.0089,0.1016,0.0011,0.0463,0.0039,0.0519,0.0022,0.0311,0.0022,0.0369,0.0035,0.0201,0.0012,0.0257,0.0032,0.0082,0.0006,0.0129,0.0017,0.0015,0.0,0.0037,0.0218,0.4503,0.0472,0.5202,0.0001,0.0375,0.0025,0.041,0.0003,0.0588,0.0044,0.0649,0.0002,0.0207,0.0011,0.0228,0.0002,0.0264,0.0013,0.0292,0.0005,0.091,0.0058,0.0987,0.0009,0.0797,0.0051,0.0868,0.0013,0.0428,0.0023,0.0477,0.0035,0.0323,0.0015,0.0379,0.0044,0.0218,0.0007,0.0295,0.0065,0.008,0.0005,0.0153,0.0047,0.0015,0.0003,0.0066,0.0269,0.4208,0.0318,0.4798,0.0005,0.0765,0.0058,0.0842,0.0041,0.1212,0.0095,0.1353,0.0007,0.0407,0.0034,0.0457,0.0007,0.0601,0.0071,0.0687,0.0015,0.1886,0.0188,0.2094,0.0022,0.1708,0.015,0.1888,0.0031,0.089,0.007,0.1001,0.0061,0.0635,0.0046,0.0746,0.0083,0.0423,0.0035,0.055,0.0098,0.0166,0.0014,0.0283,0.0065,0.0029,0.0005,0.0108,0.0503,0.8712,0.0791,1.0
Lowan,0.0,0.0239,0.0011,0.0264,0.003,0.0524,0.0035,0.0603,0.0007,0.0252,0.0015,0.0285,0.0004,0.0223,0.0007,0.0247,0.0009,0.0491,0.0031,0.0545,0.001,0.0438,0.0027,0.0495,0.0014,0.0516,0.0026,0.058,0.0029,0.0662,0.0036,0.0755,0.0049,0.0591,0.0046,0.0687,0.0047,0.0289,0.0017,0.0378,0.0036,0.0059,0.0011,0.0122,0.0326,0.4283,0.035,0.4958,0.0,0.0241,0.0007,0.0268,0.0007,0.0491,0.0026,0.0549,0.0003,0.0223,0.0011,0.0253,0.0001,0.0197,0.0008,0.0221,0.0008,0.049,0.0021,0.0536,0.0007,0.047,0.0024,0.0524,0.0018,0.0554,0.0026,0.0625,0.0039,0.0668,0.0029,0.076,0.0049,0.0577,0.0032,0.0679,0.0061,0.0319,0.0029,0.0428,0.0091,0.0075,0.0027,0.0205,0.0368,0.4333,0.0328,0.5034,0.0001,0.048,0.0026,0.0524,0.0046,0.1018,0.0071,0.1147,0.0013,0.0477,0.0034,0.0531,0.0008,0.0421,0.0021,0.0473,0.0026,0.0976,0.0062,0.1071,0.0026,0.0906,0.0056,0.1006,0.005,0.1074,0.0068,0.1204,0.0079,0.1323,0.0084,0.1508,0.011,0.1161,0.0082,0.1353,0.0122,0.0615,0.0062,0.0796,0.0143,0.0143,0.0039,0.0343,0.0699,0.8604,0.0688,1.0
Macedon,0.0002,0.0246,0.0007,0.0263,0.0037,0.0611,0.0028,0.0685,0.0007,0.0285,0.001,0.0315,0.0001,0.0191,0.0009,0.0208,0.0005,0.037,0.002,0.041,0.0006,0.0544,0.0024,0.0586,0.0007,0.0682,0.0033,0.0733,0.002,0.0652,0.0039,0.0721,0.003,0.0553,0.0031,0.0626,0.0041,0.0247,0.0015,0.0319,0.0026,0.0028,0.0004,0.0072,0.0246,0.4399,0.0282,0.493,0.0003,0.0244,0.0008,0.0263,0.0016,0.0603,0.0033,0.0655,0.0003,0.0261,0.0013,0.0282,0.0001,0.0164,0.0007,0.0179,0.0004,0.0396,0.002,0.0428,0.0006,0.0624,0.0029,0.0662,0.0017,0.073,0.0039,0.0794,0.0022,0.0677,0.0033,0.0744,0.0035,0.0576,0.0031,0.0648,0.005,0.0229,0.0014,0.0299,0.0063,0.003,0.0004,0.0108,0.0263,0.4532,0.0279,0.5079,0.0007,0.0488,0.002,0.0524,0.0065,0.1206,0.0067,0.1343,0.0011,0.0542,0.0031,0.0593,0.0005,0.0352,0.0016,0.0389,0.0013,0.0778,0.0044,0.0845,0.0021,0.1165,0.0059,0.1259,0.0028,0.1411,0.0085,0.1539,0.0048,0.1326,0.0084,0.1465,0.0073,0.1122,0.0071,0.1268,0.0099,0.0468,0.0036,0.0613,0.009,0.0071,0.001,0.0174,0.0511,0.893,0.0559,1.0
Malvern,0.0,0.0205,0.0004,0.0215,0.0009,0.0473,0.0013,0.0501,0.0,0.0257,0.0004,0.0273,0.0001,0.0326,0.001,0.0346,0.0003,0.0713,0.0026,0.0755,0.0002,0.0577,0.0016,0.0603,0.0004,0.0584,0.0016,0.0624,0.0003,0.0502,0.0014,0.0528,0.0009,0.042,0.0014,0.0451,0.003,0.0267,0.0012,0.0318,0.0044,0.0051,0.0007,0.0119,0.0161,0.437,0.0205,0.4733,0.0,0.0189,0.0006,0.0203,0.0001,0.0468,0.0016,0.049,0.0002,0.0271,0.0003,0.0291,0.0,0.0355,0.0008,0.0376,0.0,0.0757,0.0024,0.0796,0.0004,0.063,0.0014,0.0658,0.0004,0.0683,0.0015,0.0712,0.0009,0.0588,0.0014,0.062,0.0016,0.051,0.0014,0.0554,0.0062,0.0292,0.0012,0.0379,0.0099,0.0068,0.0013,0.0203,0.0252,0.4801,0.0215,0.5275,0.0,0.0402,0.0013,0.0425,0.0011,0.0938,0.0033,0.0993,0.0006,0.0528,0.0011,0.0555,0.0003,0.0685,0.0017,0.0724,0.0007,0.1458,0.0063,0.155,0.0007,0.1197,0.0045,0.1262,0.0012,0.1263,0.0044,0.1328,0.0021,0.1083,0.0042,0.1145,0.0038,0.0926,0.0035,0.1016,0.0103,0.0556,0.003,0.0696,0.0145,0.0133,0.0025,0.0318,0.0412,0.9167,0.0422,1.0
Melbourne,0.0,0.0128,0.0006,0.0141,0.0004,0.0179,0.0011,0.0196,0.0,0.0188,0.0011,0.0206,0.0002,0.0793,0.0062,0.0871,0.0005,0.1606,0.0148,0.1767,0.0005,0.0698,0.0064,0.079,0.0006,0.0332,0.0029,0.0387,0.001,0.0243,0.002,0.0286,0.0011,0.0162,0.0012,0.0197,0.0014,0.0059,0.0005,0.0087,0.001,0.0008,0.0001,0.0022,0.0106,0.4445,0.0415,0.4967,0.0,0.0126,0.0007,0.0137,0.0,0.0171,0.0013,0.0187,0.0001,0.0237,0.0016,0.0257,0.0001,0.0901,0.0067,0.0982,0.0008,0.1594,0.0136,0.1753,0.0002,0.0635,0.0049,0.0694,0.0003,0.0337,0.0023,0.0372,0.001,0.026,0.0016,0.0298,0.0017,0.0168,0.0011,0.0204,0.002,0.0061,0.0003,0.0088,0.0027,0.0008,0.0002,0.0042,0.013,0.4509,0.0388,0.5038,0.0001,0.0256,0.0017,0.028,0.0006,0.0349,0.0028,0.0394,0.0002,0.0432,0.0032,0.0469,0.0005,0.1701,0.0131,0.1849,0.0016,0.3207,0.0285,0.3513,0.0009,0.1333,0.0124,0.1485,0.0014,0.0678,0.0061,0.0756,0.0025,0.0504,0.0047,0.0579,0.003,0.0335,0.0027,0.0402,0.0039,0.0124,0.0011,0.0181,0.004,0.0021,0.0002,0.0075,0.0236,0.8955,0.081,1.0
Melton,0.0002,0.0407,0.0029,0.0454,0.0071,0.0691,0.0062,0.0828,0.0014,0.0254,0.0014,0.0293,0.0005,0.0272,0.0017,0.0307,0.0012,0.07,0.0054,0.0779,0.0012,0.0732,0.005,0.0801,0.002,0.0492,0.0031,0.0552,0.0028,0.0354,0.0018,0.0418,0.005,0.0266,0.001,0.0342,0.0035,0.0091,0.0003,0.0141,0.0011,0.0005,0.0002,0.0022,0.0326,0.4249,0.0338,0.4921,0.0001,0.0409,0.0023,0.0448,0.0033,0.0707,0.0063,0.0813,0.0008,0.0256,0.0018,0.0284,0.0002,0.0259,0.0016,0.0293,0.0014,0.0787,0.0056,0.0871,0.0019,0.0717,0.0048,0.0801,0.0033,0.0483,0.0031,0.0553,0.004,0.0381,0.0014,0.0452,0.0052,0.0298,0.0013,0.0374,0.0039,0.0082,0.0007,0.0143,0.0024,0.0008,0.0002,0.004,0.0333,0.4388,0.0353,0.5072,0.0007,0.0819,0.0059,0.0897,0.0105,0.1391,0.0128,0.1628,0.003,0.0502,0.0038,0.0576,0.0014,0.0536,0.0044,0.0599,0.0034,0.149,0.0116,0.1649,0.0036,0.1441,0.0106,0.159,0.0062,0.0971,0.007,0.1108,0.0079,0.0727,0.0041,0.0864,0.0109,0.056,0.0027,0.0707,0.0082,0.0178,0.0013,0.0286,0.0041,0.0019,0.0003,0.0071,0.0655,0.8645,0.0689,1.0
Mildura,0.0001,0.0254,0.0015,0.0278,0.0038,0.0536,0.0052,0.0638,0.0009,0.0246,0.0018,0.0291,0.0006,0.0239,0.0015,0.0283,0.001,0.0582,0.0048,0.0645,0.0007,0.0498,0.0045,0.0574,0.0021,0.0518,0.0049,0.0604,0.0036,0.0569,0.0054,0.0674,0.0057,0.0466,0.0041,0.057,0.0053,0.022,0.0018,0.0295,0.0039,0.0042,0.0007,0.0104,0.0358,0.4191,0.0432,0.4978,0.0,0.0251,0.0014,0.0274,0.0012,0.0529,0.005,0.0605,0.0004,0.0236,0.0018,0.0264,0.0001,0.0218,0.0016,0.0249,0.0007,0.0586,0.0045,0.0655,0.0005,0.052,0.0048,0.0588,0.0026,0.0539,0.0038,0.0626,0.0043,0.0574,0.0041,0.068,0.0051,0.046,0.0032,0.0561,0.0077,0.0225,0.0022,0.033,0.0095,0.0069,0.0013,0.0182,0.0389,0.4233,0.0393,0.5025,0.0002,0.0507,0.0038,0.0564,0.0058,0.1066,0.0109,0.1248,0.0016,0.0484,0.0039,0.0557,0.0011,0.0474,0.0035,0.0537,0.0019,0.1166,0.011,0.1305,0.0019,0.1027,0.0101,0.1166,0.0058,0.1072,0.01,0.1233,0.0089,0.1151,0.0098,0.1349,0.0123,0.0916,0.0079,0.1124,0.0139,0.0446,0.0044,0.064,0.0143,0.0109,0.0027,0.0285,0.0742,0.8419,0.0839,1.0
Mill Park,0.0002,0.0299,0.0011,0.0316,0.0018,0.0599,0.0023,0.0662,0.0006,0.0303,0.001,0.0329,0.0003,0.0326,0.0008,0.0347,0.0007,0.0704,0.0022,0.0736,0.001,0.0674,0.0021,0.0719,0.0015,0.0585,0.0021,0.0638,0.0022,0.0537,0.0016,0.0585,0.0041,0.0322,0.0008,0.0387,0.0039,0.0104,0.0016,0.0167,0.0024,0.0008,0.0013,0.0052,0.0268,0.4434,0.0237,0.4946,0.0,0.0281,0.001,0.0294,0.0008,0.0582,0.0024,0.0626,0.0002,0.0282,0.0003,0.0302,0.0001,0.0286,0.0003,0.0308,0.0007,0.0698,0.0021,0.0729,0.0006,0.0678,0.002,0.0721,0.0022,0.0642,0.0012,0.0703,0.0045,0.0576,0.0012,0.065,0.0051,0.033,0.0016,0.0407,0.0068,0.0094,0.0022,0.0198,0.0052,0.0006,0.0032,0.0105,0.0333,0.4461,0.0252,0.5058,0.0004,0.0571,0.0024,0.061,0.0038,0.1181,0.0061,0.1286,0.0012,0.0576,0.0018,0.0624,0.0006,0.0619,0.0016,0.0666,0.0015,0.1377,0.0053,0.1469,0.0021,0.1357,0.0057,0.145,0.0049,0.1228,0.0045,0.134,0.008,0.1097,0.0036,0.123,0.0105,0.0647,0.003,0.079,0.0117,0.0206,0.0045,0.0369,0.0084,0.002,0.0046,0.0163,0.0613,0.8897,0.0486,1.0
Monbulk,0.0,0.0266,0.0003,0.0279,0.0036,0.0604,0.0018,0.0677,0.0007,0.0311,0.0007,0.0338,0.0004,0.0258,0.0007,0.0276,0.0005,0.0487,0.0017,0.0533,0.0002,0.0622,0.0019,0.0655,0.0008,0.0701,0.0021,0.0746,0.002,0.0625,0.0016,0.0678,0.0022,0.0469,0.0015,0.0525,0.0028,0.0183,0.0009,0.0233,0.0018,0.0017,0.0002,0.0051,0.0233,0.4559,0.0216,0.5011,0.0001,0.0252,0.0006,0.0266,0.0017,0.0565,0.0019,0.0617,0.0003,0.027,0.0006,0.0289,0.0003,0.0221,0.0004,0.0236,0.0005,0.0504,0.0016,0.054,0.0004,0.0661,0.002,0.0702,0.0012,0.0728,0.0023,0.0775,0.0016,0.0658,0.002,0.0709,0.0023,0.0481,0.0014,0.0531,0.0042,0.0175,0.0004,0.023,0.0049,0.0025,0.0004,0.0078,0.0255,0.4536,0.0211,0.4992,0.0002,0.0516,0.0016,0.054,0.0062,0.1182,0.0049,0.1301,0.0017,0.0574,0.0019,0.063,0.0008,0.0474,0.0017,0.0516,0.0014,0.0984,0.0039,0.1065,0.0009,0.1275,0.005,0.1351,0.0032,0.1426,0.005,0.1526,0.0042,0.1281,0.0045,0.139,0.0058,0.0956,0.0035,0.1061,0.0082,0.035,0.0019,0.0462,0.0066,0.0049,0.0005,0.0138,0.0481,0.9089,0.042,1.0
Mordialloc,0.0002,0.0283,0.0006,0.0298,0.0026,0.0643,0.0015,0.0691,0.0004,0.0294,0.0002,0.0312,0.0001,0.0266,0.0005,0.0283,0.0003,0.0525,0.0014,0.0551,0.0005,0.0684,0.0018,0.0719,0.0008,0.068,0.0013,0.0731,0.0016,0.0534,0.0013,0.0582,0.0021,0.0349,0.0008,0.0389,0.0038,0.0151,0.0004,0.0199,0.0029,0.0031,0.0001,0.0071,0.0211,0.4466,0.0154,0.4832,0.0,0.0277,0.0003,0.0289,0.0009,0.0625,0.0014,0.0658,0.0003,0.0288,0.0003,0.0303,0.0001,0.0255,0.0003,0.0266,0.0004,0.0564,0.0015,0.0592,0.0005,0.0761,0.0015,0.0797,0.0012,0.0761,0.0017,0.0807,0.0019,0.0566,0.0008,0.0611,0.0035,0.038,0.0009,0.0433,0.0055,0.0193,0.0006,0.0267,0.0077,0.0048,0.0003,0.0131,0.0275,0.4725,0.0154,0.5165,0.0002,0.0563,0.0013,0.0584,0.004,0.1264,0.0035,0.1345,0.0009,0.0589,0.0012,0.0626,0.0005,0.053,0.0009,0.0554,0.0013,0.1091,0.0035,0.1149,0.0015,0.1437,0.0041,0.1509,0.0028,0.145,0.0038,0.1523,0.0038,0.1113,0.0029,0.1196,0.0061,0.0726,0.0023,0.082,0.0106,0.0344,0.0016,0.0475,0.0115,0.0083,0.0008,0.0207,0.0491,0.9193,0.0317,1.0
Mornington,0.0001,0.0217,0.0004,0.0231,0.0023,0.0628,0.0018,0.068,0.0004,0.0311,0.0008,0.0332,0.0002,0.0206,0.0001,0.0219,0.0003,0.0293,0.0009,0.0321,0.0004,0.0479,0.0011,0.0506,0.0009,0.0653,0.0021,0.0693,0.0009,0.0568,0.0019,0.0613,0.0025,0.0524,0.0018,0.0578,0.0053,0.0355,0.0019,0.0426,0.0045,0.0076,0.0011,0.0154,0.0226,0.433,0.0196,0.4758,0.0,0.0216,0.0002,0.0229,0.001,0.0607,0.0022,0.0646,0.0002,0.0292,0.0008,0.0321,0.0002,0.0196,0.0004,0.0211,0.0003,0.0304,0.0007,0.033,0.0005,0.057,0.0013,0.0592,0.001,0.0749,0.002,0.0788,0.0015,0.0624,0.0014,0.0679,0.0034,0.0647,0.0023,0.0722,0.0085,0.0396,0.0023,0.0521,0.0105,0.009,0.0021,0.023,0.0329,0.4692,0.0223,0.5245,0.0003,0.0437,0.0011,0.0453,0.0046,0.1232,0.0046,0.1335,0.0011,0.0608,0.002,0.0652,0.0006,0.0409,0.0007,0.0426,0.0005,0.061,0.0023,0.0651,0.0013,0.1044,0.0035,0.1098,0.0025,0.1398,0.0054,0.1484,0.0029,0.1187,0.0043,0.1275,0.0065,0.1178,0.0047,0.1294,0.0145,0.0746,0.0048,0.0939,0.0156,0.0186,0.0037,0.0379,0.0556,0.903,0.0424,1.0
Morwell,0.0003,0.0251,0.0017,0.0282,0.0046,0.0529,0.005,0.0627,0.0011,0.0249,0.0018,0.0291,0.0005,0.0247,0.0015,0.0279,0.0012,0.0551,0.0042,0.0624,0.0015,0.0487,0.0041,0.0558,0.0026,0.0502,0.0041,0.0584,0.0052,0.0558,0.004,0.065,0.007,0.0474,0.0028,0.0586,0.0057,0.0231,0.0016,0.0312,0.0032,0.0041,0.001,0.0097,0.0403,0.4093,0.0383,0.4879,0.0001,0.0249,0.0018,0.027,0.0021,0.0497,0.0049,0.0581,0.0003,0.0244,0.0014,0.0269,0.0003,0.0246,0.0017,0.0282,0.0013,0.059,0.0038,0.0658,0.002,0.0525,0.0043,0.0601,0.0036,0.0535,0.0029,0.0626,0.0055,0.0596,0.004,0.0699,0.0066,0.05,0.0022,0.0609,0.008,0.0231,0.002,0.035,0.0084,0.0047,0.0013,0.0161,0.045,0.4288,0.0383,0.5115,0.0005,0.0509,0.0038,0.0564,0.008,0.1031,0.0097,0.1213,0.0023,0.0491,0.0037,0.0569,0.0016,0.0487,0.0044,0.0559,0.0041,0.1138,0.0096,0.1278,0.0044,0.1002,0.0085,0.114,0.0072,0.1046,0.0079,0.1203,0.0115,0.1149,0.0089,0.1344,0.0142,0.0983,0.0067,0.1194,0.015,0.0457,0.0047,0.0659,0.0126,0.0092,0.0025,0.025,0.0849,0.8375,0.0758,1.0
Mulgrave,0.0002,0.025,0.0013,0.0273,0.0013,0.0503,0.0017,0.0551,0.0003,0.0248,0.0006,0.0263,0.0,0.0332,0.0014,0.0362,0.0007,0.0773,0.0044,0.0839,0.0006,0.0649,0.003,0.0698,0.0016,0.055,0.0022,0.06,0.0022,0.0466,0.0013,0.0524,0.0046,0.0385,0.0012,0.0452,0.0082,0.0227,0.0013,0.0329,0.0059,0.0051,0.0008,0.0129,0.0324,0.4438,0.0262,0.5014,0.0001,0.0235,0.0011,0.0255,0.0005,0.0471,0.0015,0.0505,0.0003,0.0219,0.0005,0.0236,0.0003,0.0285,0.0008,0.0304,0.0002,0.0681,0.004,0.0728,0.0007,0.0633,0.0022,0.0678,0.0015,0.056,0.0017,0.0608,0.0036,0.0482,0.0013,0.0547,0.0071,0.044,0.0019,0.0537,0.0112,0.0228,0.0014,0.036,0.0131,0.0061,0.0018,0.0215,0.0431,0.43,0.0249,0.4977,0.0003,0.0489,0.0028,0.0529,0.0024,0.0984,0.0042,0.1064,0.0007,0.0463,0.0015,0.0499,0.0004,0.0621,0.0028,0.0661,0.0014,0.1459,0.0099,0.157,0.0021,0.1278,0.0058,0.1373,0.0042,0.1114,0.0045,0.1207,0.0072,0.0949,0.0036,0.1066,0.0121,0.0823,0.0036,0.0987,0.0196,0.0452,0.0035,0.0693,0.0189,0.0115,0.0028,0.0349,0.0749,0.8744,0.0507,1.0
