district,M_0_4_yrs_Need_for_assistance_n,M_0_4_No_need_for_assistance_n,M_0_4_Need_for_assistance_ns_n,M_0_4_yrs_Tot_n,M_5_14_Need_for_assistance_n,M_5_14_No_need_for_assistance_n,M_5_14_Need_for_assistance_ns_n,M_5_14_yrs_Tot_n,M_15_19_Need_for_assistance_n,M_15_19_No_need_for_assistnce_n,M_15_19_Need_for_assistnce_ns_n,M_15_19_yrs_Tot_n,M_20_24_Need_for_assistance_n,M_20_24_No_need_for_assistnce_n,M_20_24_Need_for_assistnce_ns_n,M_20_24_yrs_Tot_n,M_25_34_Need_for_assistance_n,M_25_34_No_need_for_assistnce_n,M_25_34_Need_for_assistnce_ns_n,M_25_34_yrs_Tot_n,M_35_44_Need_for_assistance_n,M_35_44_No_need_for_assistnce_n,M_35_44_Need_for_assistnce_ns_n,M_35_44_yrs_Tot_n,M_45_54_Need_for_assistance_n,M_45_54_No_need_for_assistnce_n,M_45_54_Need_for_assistnce_ns_n,M_45_54_yrs_Tot_n,M_55_64_Need_for_assistance_n,M_55_64_No_need_for_assistnce_n,M_55_64_Need_for_assistnce_ns_n,M_55_64_yrs_Tot_n,M_65_74_Need_for_assistance_n,M_65_74_No_need_for_assistnce_n,M_65_74_Need_for_assistnce_ns_n,M_65_74_yrs_Tot_n,M_75_84_Need_for_assistance_n,M_75_84_No_need_for_assistnce_n,M_75_84_Need_for_assistnce_ns_n,M_75_84_yrs_Tot_n,M_85_over_Need_for_assistance_n,M_85_ov_No_need_for_assistnce_n,M_85_ov_Need_for_assistnce_ns_n,M_85_yrs_over_Tot_n,M_Tot_Need_for_assistance_n,M_Tot_No_need_for_assistance_n,M_Tot_Need_for_assistance_ns_n,M_Tot_Tot_n,F_0_4_yrs_Need_for_assistance_n,F_0_4_No_need_for_assistance_n,F_0_4_Need_for_assistance_ns_n,F_0_4_yrs_Tot_n,F_5_14_Need_for_assistance_n,F_5_14_No_need_for_assistance_n,F_5_14_Need_for_assistance_ns_n,F_5_14_yrs_Tot_n,F_15_19_Need_for_assistance_n,F_15_19_No_need_for_assistnce_n,F_15_19_Need_for_assistnce_ns_n,F_15_19_yrs_Tot_n,F_20_24_Need_for_assistance_n,F_20_24_No_need_for_assistnce_n,F_20_24_Need_for_assistnce_ns_n,F_20_24_yrs_Tot_n,F_25_34_Need_for_assistance_n,F_25_34_No_need_for_assistnce_n,F_25_34_Need_for_assistnce_ns_n,F_25_34_yrs_Tot_n,F_35_44_Need_for_assistance_n,F_35_44_No_need_for_assistnce_n,F_35_44_Need_for_assistnce_ns_n,F_35_44_yrs_Tot_n,F_45_54_Need_for_assistance_n,F_45_54_No_need_for_assistnce_n,F_45_54_Need_for_assistnce_ns_n,F_45_54_yrs_Tot_n,F_55_64_Need_for_assistance_n,F_55_64_No_need_for_assistnce_n,F_55_64_Need_for_assistnce_ns_n,F_55_64_yrs_Tot_n,F_65_74_Need_for_assistance_n,F_65_74_No_need_for_assistnce_n,F_65_74_Need_for_assistnce_ns_n,F_65_74_yrs_Tot_n,F_75_84_Need_for_assistance_n,F_75_84_No_need_for_assistnce_n,F_75_84_Need_for_assistnce_ns_n,F_75_84_yrs_Tot_n,F_85_over_Need_for_assistance_n,F_85_ov_No_need_for_assistnce_n,F_85_ov_Need_for_assistnce_ns_n,F_85_yrs_over_Tot_n,F_Tot_Need_for_assistance_n,F_Tot_No_need_for_assistance_n,F_Tot_Need_for_assistance_ns_n,F_Tot_Tot_n,P_0_4_yrs_Need_for_assistance_n,P_0_4_No_need_for_assistance_n,P_0_4_Need_for_assistance_ns_n,P_0_4_yrs_Tot_n,P_5_14_Need_for_assistance_n,P_5_14_No_need_for_assistance_n,P_5_14_Need_for_assistance_ns_n,P_5_14_yrs_Tot_n,P_15_19_Need_for_assistance_n,P_15_19_No_need_for_assistnce_n,P_15_19_Need_for_assistnce_ns_n,P_15_19_yrs_Tot_n,P_20_24_Need_for_assistance_n,P_20_24_No_need_for_assistnce_n,P_20_24_Need_for_assistnce_ns_n,P_20_24_yrs_Tot_n,P_25_34_Need_for_assistance_n,P_25_34_No_need_for_assistnce_n,P_25_34_Need_for_assistnce_ns_n,P_25_34_yrs_Tot_n,P_35_44_Need_for_assistance_n,P_35_44_No_need_for_assistnce_n,P_35_44_Need_for_assistnce_ns_n,P_35_44_yrs_Tot_n,P_45_54_Need_for_assistance_n,P_45_54_No_need_for_assistnce_n,P_45_54_Need_for_assistnce_ns_n,P_45_54_yrs_Tot_n,P_55_64_Need_for_assistance_n,P_55_64_No_need_for_assistnce_n,P_55_64_Need_for_assistnce_ns_n,P_55_64_yrs_Tot_n,P_65_74_Need_for_assistance_n,P_65_74_No_need_for_assistnce_n,P_65_74_Need_for_assistnce_ns_n,P_65_74_yrs_Tot_n,P_75_84_Need_for_assistance_n,P_75_84_No_need_for_assistnce_n,P_75_84_Need_for_assistnce_ns_n,P_75_84_yrs_Tot_n,P_85_over_Need_for_assistance_n,P_85_ov_No_need_for_assistnce_n,P_85_ov_Need_for_assistnce_ns_n,P_85_yrs_over_Tot_n,P_Tot_Need_for_assistance_n,P_Tot_No_need_for_assistance_n,P_Tot_Need_for_assistance_ns_n,P_Tot_Tot_n,P_Tot_Tot_total
Macedon,14.0,1585.0,46.0,1691.0,241.0,3933.0,180.0,4408.0,45.0,1833.0,67.0,2028.0,6.0,1231.0,58.0,1337.0,31.0,2381.0,130.0,2634.0,37.0,3500.0,155.0,3772.0,42.0,4387.0,212.0,4715.0,127.0,4191.0,252.0,4638.0,195.0,3558.0,198.0,4029.0,265.0,1591.0,95.0,2053.0,170.0,179.0,28.0,464.0,1582.0,28291.0,1812.0,31712.0,20.0,1567.0,53.0,1692.0,100.0,3876.0,210.0,4215.0,22.0,1678.0,84.0,1815.0,6.0,1055.0,46.0,1153.0,27.0,2544.0,127.0,2756.0,40.0,4011.0,187.0,4261.0,107.0,4696.0,252.0,5110.0,143.0,4355.0,213.0,4784.0,223.0,3707.0,199.0,4170.0,323.0,1472.0,91.0,1926.0,402.0,195.0,28.0,692.0,1693.0,29151.0,1794.0,32670.0,45.0,3140.0,128.0,3368.0,415.0,7757.0,431.0,8639.0,70.0,3488.0,201.0,3815.0,31.0,2266.0,100.0,2503.0,86.0,5005.0,282.0,5437.0,133.0,7493.0,377.0,8100.0,178.0,9077.0,547.0,9900.0,311.0,8530.0,539.0,9423.0,471.0,7218.0,459.0,8156.0,637.0,3008.0,229.0,3943.0,579.0,456.0,65.0,1121.0,3287.0,57438.0,3595.0,64319.0,64319.0
Malvern,0.0,1317.0,26.0,1381.0,56.0,3036.0,81.0,3213.0,0.0,1647.0,28.0,1754.0,4.0,2092.0,64.0,2218.0,19.0,4574.0,169.0,4839.0,10.0,3698.0,102.0,3868.0,26.0,3744.0,103.0,4000.0,22.0,3218.0,87.0,3386.0,56.0,2691.0,90.0,2891.0,193.0,1713.0,78.0,2039.0,279.0,326.0,45.0,764.0,1030.0,28029.0,1317.0,30353.0,0.0,1214.0,39.0,1299.0,5.0,3003.0,100.0,3141.0,10.0,1736.0,18.0,1868.0,3.0,2276.0,49.0,2411.0,3.0,4855.0,154.0,5105.0,27.0,4038.0,92.0,4221.0,27.0,4380.0,94.0,4565.0,59.0,3768.0,90.0,3975.0,104.0,3269.0,92.0,3552.0,395.0,1871.0,75.0,2432.0,637.0,436.0,82.0,1301.0,1617.0,30789.0,1381.0,33830.0,0.0,2579.0,83.0,2727.0,68.0,6018.0,212.0,6366.0,39.0,3384.0,69.0,3561.0,22.0,4394.0,109.0,4646.0,45.0,9349.0,405.0,9943.0,46.0,7678.0,287.0,8093.0,74.0,8102.0,283.0,8517.0,137.0,6948.0,270.0,7341.0,245.0,5937.0,224.0,6513.0,658.0,3566.0,194.0,4466.0,928.0,855.0,159.0,2040.0,2644.0,58792.0,2708.0,64134.0,64134.0
Melbourne,5.0,1517.0,74.0,1669.0,46.0,2114.0,126.0,2321.0,5.0,2229.0,136.0,2438.0,18.0,9388.0,737.0,10316.0,62.0,19011.0,1747.0,20921.0,59.0,8264.0,759.0,9352.0,69.0,3927.0,345.0,4576.0,119.0,2880.0,240.0,3383.0,125.0,1916.0,142.0,2327.0,164.0,701.0,61.0,1033.0,123.0,95.0,12.0,256.0,1250.0,52626.0,4907.0,58805.0,3.0,1496.0,83.0,1617.0,5.0,2021.0,152.0,2215.0,8.0,2808.0,184.0,3043.0,16.0,10670.0,794.0,11625.0,98.0,18867.0,1612.0,20752.0,19.0,7517.0,580.0,8221.0,36.0,3992.0,272.0,4402.0,116.0,3077.0,190.0,3524.0,198.0,1983.0,129.0,2415.0,241.0,718.0,41.0,1039.0,319.0,100.0,25.0,494.0,1541.0,53373.0,4592.0,59640.0,14.0,3025.0,201.0,3309.0,76.0,4132.0,337.0,4664.0,23.0,5112.0,380.0,5556.0,61.0,20138.0,1554.0,21894.0,189.0,37971.0,3369.0,41588.0,109.0,15776.0,1466.0,17578.0,167.0,8026.0,728.0,8948.0,297.0,5971.0,557.0,6854.0,359.0,3971.0,321.0,4761.0,461.0,1464.0,126.0,2141.0,471.0,247.0,28.0,883.0,2797.0,106007.0,9587.0,118383.0,118383.0
Melton,17.0,3369.0,240.0,3758.0,590.0,5725.0,511.0,6855.0,120.0,2107.0,117.0,2425.0,41.0,2249.0,137.0,2540.0,100.0,5794.0,451.0,6453.0,102.0,6060.0,417.0,6632.0,162.0,4076.0,259.0,4568.0,228.0,2932.0,146.0,3459.0,410.0,2204.0,84.0,2836.0,293.0,751.0,28.0,1164.0,94.0,42.0,13.0,181.0,2698.0,35195.0,2802.0,40759.0,5.0,3389.0,187.0,3714.0,270.0,5852.0,524.0,6735.0,66.0,2123.0,147.0,2354.0,14.0,2141.0,129.0,2430.0,120.0,6516.0,464.0,7211.0,160.0,5937.0,401.0,6633.0,270.0,4003.0,256.0,4581.0,330.0,3154.0,117.0,3742.0,434.0,2471.0,106.0,3101.0,319.0,683.0,58.0,1181.0,195.0,69.0,17.0,334.0,2760.0,36340.0,2920.0,42011.0,58.0,6783.0,489.0,7430.0,872.0,11522.0,1056.0,13483.0,246.0,4161.0,312.0,4774.0,120.0,4443.0,366.0,4965.0,282.0,12342.0,960.0,13660.0,299.0,11938.0,878.0,13167.0,511.0,8039.0,582.0,9174.0,655.0,6023.0,343.0,7152.0,904.0,4640.0,227.0,5859.0,677.0,1474.0,108.0,2365.0,336.0,156.0,25.0,592.0,5423.0,71601.0,5709.0,82823.0,82823.0
Mildura,10.0,1769.0,102.0,1938.0,266.0,3739.0,366.0,4452.0,63.0,1714.0,129.0,2028.0,40.0,1665.0,106.0,1975.0,72.0,4062.0,335.0,4500.0,47.0,3474.0,315.0,4002.0,147.0,3615.0,339.0,4211.0,253.0,3972.0,379.0,4698.0,397.0,3249.0,288.0,3973.0,368.0,1536.0,123.0,2060.0,274.0,292.0,48.0,723.0,2498.0,29228.0,3012.0,34720.0,0.0,1749.0,96.0,1914.0,82.0,3692.0,346.0,4223.0,27.0,1644.0,126.0,1841.0,9.0,1518.0,111.0,1734.0,48.0,4089.0,314.0,4570.0,37.0,3624.0,337.0,4103.0,183.0,3761.0,263.0,4363.0,299.0,4005.0,284.0,4744.0,358.0,3205.0,223.0,3912.0,540.0,1567.0,151.0,2302.0,663.0,478.0,90.0,1269.0,2715.0,29526.0,2739.0,35051.0,14.0,3534.0,265.0,3937.0,403.0,7435.0,757.0,8702.0,114.0,3379.0,273.0,3886.0,75.0,3303.0,243.0,3743.0,136.0,8134.0,765.0,9102.0,136.0,7166.0,707.0,8130.0,407.0,7479.0,696.0,8602.0,620.0,8025.0,685.0,9406.0,857.0,6387.0,552.0,7838.0,968.0,3108.0,310.0,4466.0,995.0,760.0,191.0,1987.0,5176.0,58718.0,5852.0,69748.0,69748.0
Mill Park,15.0,2054.0,73.0,2173.0,123.0,4115.0,159.0,4547.0,44.0,2081.0,67.0,2258.0,21.0,2239.0,52.0,2385.0,46.0,4835.0,149.0,5059.0,66.0,4635.0,142.0,4940.0,102.0,4019.0,144.0,4384.0,151.0,3689.0,108.0,4023.0,283.0,2210.0,56.0,2662.0,265.0,716.0,107.0,1145.0,164.0,55.0,91.0,354.0,1844.0,30474.0,1631.0,33995.0,3.0,1934.0,68.0,2024.0,56.0,4003.0,162.0,4303.0,12.0,1938.0,23.0,2073.0,8.0,1964.0,22.0,2120.0,47.0,4794.0,143.0,5010.0,41.0,4663.0,139.0,4956.0,153.0,4414.0,84.0,4829.0,310.0,3958.0,80.0,4469.0,351.0,2267.0,112.0,2800.0,468.0,643.0,153.0,1362.0,360.0,42.0,222.0,722.0,2291.0,30661.0,1730.0,34760.0,30.0,3921.0,163.0,4191.0,258.0,8119.0,418.0,8839.0,82.0,3958.0,126.0,4291.0,44.0,4255.0,109.0,4579.0,102.0,9464.0,367.0,10098.0,145.0,9324.0,390.0,9966.0,338.0,8438.0,310.0,9211.0,553.0,7536.0,244.0,8455.0,725.0,4445.0,207.0,5426.0,802.0,1415.0,309.0,2537.0,574.0,140.0,318.0,1122.0,4210.0,61143.0,3339.0,68727.0,68727.0
Monbulk,0.0,1753.0,22.0,1839.0,237.0,3983.0,116.0,4461.0,45.0,2052.0,48.0,2231.0,28.0,1698.0,43.0,1822.0,35.0,3213.0,114.0,3517.0,14.0,4104.0,126.0,4320.0,50.0,4620.0,141.0,4921.0,130.0,4124.0,108.0,4472.0,144.0,3093.0,98.0,3459.0,185.0,1206.0,59.0,1539.0,121.0,110.0,16.0,334.0,1537.0,30060.0,1427.0,33043.0,5.0,1660.0,40.0,1753.0,111.0,3724.0,127.0,4069.0,19.0,1780.0,42.0,1906.0,22.0,1460.0,25.0,1556.0,35.0,3321.0,103.0,3562.0,24.0,4356.0,130.0,4631.0,82.0,4798.0,149.0,5112.0,105.0,4338.0,132.0,4674.0,153.0,3172.0,93.0,3500.0,280.0,1155.0,27.0,1515.0,322.0,165.0,25.0,515.0,1683.0,29912.0,1391.0,32920.0,10.0,3403.0,106.0,3560.0,411.0,7793.0,322.0,8578.0,115.0,3783.0,128.0,4157.0,52.0,3127.0,113.0,3404.0,91.0,6488.0,254.0,7022.0,62.0,8409.0,327.0,8909.0,208.0,9402.0,330.0,10061.0,278.0,8446.0,299.0,9167.0,383.0,6307.0,229.0,6995.0,539.0,2310.0,127.0,3049.0,436.0,320.0,32.0,913.0,3174.0,59932.0,2768.0,65940.0,65940.0
Mordialloc,11.0,2049.0,43.0,2157.0,185.0,4650.0,108.0,4998.0,32.0,2126.0,14.0,2260.0,10.0,1925.0,35.0,2047.0,24.0,3796.0,102.0,3988.0,35.0,4950.0,132.0,5205.0,61.0,4923.0,94.0,5290.0,116.0,3865.0,91.0,4209.0,154.0,2527.0,55.0,2815.0,276.0,1091.0,29.0,1443.0,207.0,225.0,10.0,512.0,1527.0,32315.0,1115.0,34958.0,0.0,2006.0,22.0,2091.0,63.0,4524.0,98.0,4758.0,21.0,2086.0,22.0,2194.0,10.0,1846.0,21.0,1924.0,31.0,4084.0,111.0,4286.0,39.0,5508.0,110.0,5765.0,84.0,5505.0,122.0,5838.0,141.0,4094.0,58.0,4418.0,253.0,2746.0,68.0,3133.0,400.0,1398.0,41.0,1931.0,560.0,347.0,24.0,948.0,1990.0,34187.0,1112.0,37371.0,15.0,4072.0,95.0,4228.0,290.0,9143.0,255.0,9729.0,67.0,4264.0,85.0,4530.0,37.0,3834.0,68.0,4009.0,93.0,7892.0,255.0,8310.0,112.0,10395.0,297.0,10920.0,201.0,10492.0,274.0,11019.0,276.0,8056.0,210.0,8651.0,438.0,5255.0,167.0,5930.0,769.0,2491.0,113.0,3439.0,829.0,604.0,55.0,1501.0,3555.0,66517.0,2294.0,72354.0,72354.0
Mornington,7.0,1417.0,28.0,1513.0,150.0,4108.0,116.0,4450.0,26.0,2032.0,55.0,2169.0,12.0,1347.0,8.0,1435.0,19.0,1917.0,60.0,2099.0,28.0,3134.0,72.0,3308.0,58.0,4271.0,137.0,4531.0,60.0,3715.0,126.0,4010.0,164.0,3429.0,115.0,3780.0,346.0,2320.0,121.0,2787.0,297.0,499.0,74.0,1004.0,1479.0,28321.0,1282.0,31120.0,0.0,1410.0,14.0,1499.0,66.0,3973.0,146.0,4224.0,14.0,1907.0,51.0,2097.0,10.0,1279.0,26.0,1379.0,22.0,1990.0,44.0,2161.0,31.0,3728.0,86.0,3872.0,66.0,4897.0,129.0,5155.0,95.0,4081.0,93.0,4441.0,224.0,4232.0,150.0,4720.0,553.0,2593.0,150.0,3410.0,688.0,586.0,137.0,1502.0,2154.0,30690.0,1457.0,34305.0,17.0,2855.0,72.0,2963.0,298.0,8061.0,301.0,8729.0,70.0,3977.0,134.0,4264.0,39.0,2674.0,46.0,2789.0,32.0,3990.0,153.0,4261.0,83.0,6831.0,228.0,7183.0,162.0,9145.0,354.0,9709.0,191.0,7766.0,283.0,8340.0,428.0,7704.0,306.0,8464.0,947.0,4876.0,317.0,6141.0,1018.0,1215.0,240.0,2482.0,3638.0,59061.0,2773.0,65404.0,65404.0
Morwell,25.0,1806.0,120.0,2026.0,329.0,3803.0,361.0,4509.0,82.0,1794.0,132.0,2090.0,34.0,1776.0,111.0,2004.0,88.0,3964.0,305.0,4492.0,109.0,3501.0,295.0,4016.0,187.0,3608.0,292.0,4203.0,374.0,4012.0,285.0,4679.0,507.0,3409.0,199.0,4217.0,407.0,1661.0,115.0,2244.0,228.0,295.0,74.0,701.0,2901.0,29442.0,2755.0,35099.0,7.0,1793.0,128.0,1945.0,152.0,3575.0,349.0,4178.0,25.0,1758.0,100.0,1932.0,18.0,1768.0,124.0,2027.0,95.0,4242.0,271.0,4737.0,145.0,3779.0,307.0,4321.0,261.0,3849.0,206.0,4507.0,394.0,4288.0,286.0,5030.0,475.0,3594.0,160.0,4380.0,575.0,1665.0,144.0,2521.0,601.0,338.0,96.0,1155.0,3239.0,30846.0,2757.0,36796.0,39.0,3659.0,275.0,4057.0,574.0,7417.0,700.0,8724.0,167.0,3533.0,264.0,4095.0,117.0,3506.0,316.0,4022.0,294.0,8185.0,693.0,9197.0,318.0,7205.0,610.0,8198.0,519.0,7526.0,567.0,8654.0,824.0,8266.0,637.0,9672.0,1024.0,7075.0,480.0,8592.0,1082.0,3291.0,336.0,4740.0,910.0,661.0,182.0,1800.0,6108.0,60250.0,5454.0,71940.0,71940.0
Mulgrave,13.0,1924.0,103.0,2103.0,102.0,3876.0,134.0,4240.0,24.0,1911.0,47.0,2023.0,3.0,2553.0,110.0,2786.0,55.0,5956.0,336.0,6460.0,47.0,4996.0,228.0,5378.0,124.0,4237.0,173.0,4623.0,166.0,3587.0,103.0,4035.0,358.0,2963.0,90.0,3481.0,629.0,1747.0,102.0,2537.0,456.0,396.0,62.0,990.0,2497.0,34178.0,2015.0,38615.0,4.0,1807.0,87.0,1965.0,36.0,3627.0,118.0,3887.0,21.0,1688.0,42.0,1819.0,26.0,2197.0,58.0,2343.0,16.0,5244.0,306.0,5610.0,57.0,4876.0,167.0,5218.0,114.0,4315.0,130.0,4682.0,277.0,3715.0,97.0,4212.0,546.0,3385.0,145.0,4138.0,859.0,1755.0,106.0,2773.0,1006.0,466.0,140.0,1654.0,3321.0,33114.0,1916.0,38333.0,20.0,3768.0,216.0,4076.0,181.0,7575.0,326.0,8198.0,56.0,3566.0,119.0,3840.0,34.0,4785.0,214.0,5088.0,107.0,11234.0,762.0,12088.0,165.0,9845.0,450.0,10574.0,324.0,8583.0,349.0,9294.0,552.0,7310.0,280.0,8209.0,930.0,6338.0,277.0,7600.0,1507.0,3482.0,270.0,5335.0,1458.0,889.0,219.0,2684.0,5771.0,67343.0,3903.0,77013.0,77013.0
Murray Plains,6.0,1523.0,72.0,1711.0,237.0,3427.0,312.0,4071.0,42.0,1675.0,98.0,1898.0,29.0,1458.0,56.0,1638.0,61.0,3022.0,193.0,3337.0,68.0,2965.0,198.0,3256.0,66.0,3387.0,261.0,3811.0,233.0,4043.0,266.0,4621.0,355.0,3538.0,244.0,4247.0,397.0,1919.0,147.0,2466.0,233.0,428.0,82.0,891.0,2192.0,27311.0,2450.0,32003.0,6.0,1548.0,100.0,1705.0,100.0,3497.0,253.0,3958.0,15.0,1503.0,89.0,1656.0,6.0,1451.0,57.0,1596.0,37.0,3200.0,151.0,3555.0,58.0,3114.0,166.0,3536.0,124.0,3641.0,207.0,3996.0,226.0,4127.0,223.0,4700.0,260.0,3584.0,231.0,4117.0,468.0,1963.0,145.0,2719.0,556.0,536.0,179.0,1305.0,2331.0,28189.0,2473.0,32900.0,15.0,3056.0,225.0,3374.0,411.0,6866.0,624.0,7955.0,97.0,3170.0,220.0,3613.0,68.0,2929.0,163.0,3256.0,131.0,6213.0,422.0,6945.0,158.0,6077.0,502.0,6807.0,278.0,6997.0,541.0,7880.0,545.0,8171.0,570.0,9328.0,698.0,7082.0,506.0,8477.0,914.0,3876.0,376.0,5205.0,854.0,918.0,283.0,2168.0,4559.0,55544.0,4799.0,64888.0,64888.0
Narracan,13.0,1914.0,71.0,2073.0,264.0,3969.0,247.0,4604.0,67.0,1708.0,62.0,1936.0,27.0,1556.0,52.0,1729.0,75.0,3625.0,161.0,3936.0,70.0,3438.0,267.0,3817.0,86.0,3599.0,267.0,3968.0,168.0,3801.0,225.0,4292.0,270.0,3418.0,179.0,4043.0,299.0,1738.0,61.0,2233.0,194.0,273.0,42.0,559.0,2018.0,29168.0,2070.0,33248.0,9.0,1898.0,69.0,2034.0,88.0,3809.0,259.0,4277.0,56.0,1732.0,98.0,1951.0,22.0,1567.0,26.0,1683.0,48.0,3989.0,255.0,4398.0,90.0,3591.0,215.0,3949.0,110.0,3980.0,223.0,4360.0,187.0,4183.0,221.0,4736.0,280.0,3576.0,187.0,4174.0,407.0,1733.0,71.0,2292.0,440.0,340.0,75.0,886.0,2216.0,30514.0,2090.0,34889.0,30.0,3795.0,185.0,4130.0,437.0,7858.0,548.0,8873.0,145.0,3517.0,225.0,3898.0,80.0,3153.0,120.0,3431.0,166.0,7518.0,519.0,8262.0,189.0,7012.0,515.0,7822.0,252.0,7529.0,476.0,8372.0,463.0,8098.0,474.0,9052.0,629.0,7016.0,390.0,8089.0,767.0,3460.0,266.0,4549.0,697.0,656.0,132.0,1523.0,4281.0,59661.0,4204.0,68111.0,68111.0
Narre Warren North,7.0,2236.0,115.0,2461.0,250.0,4535.0,243.0,5129.0,68.0,2260.0,78.0,2523.0,3.0,2661.0,101.0,2860.0,44.0,5177.0,337.0,5692.0,72.0,4789.0,253.0,5166.0,115.0,4385.0,169.0,4837.0,215.0,4555.0,135.0,5013.0,407.0,2932.0,77.0,3449.0,390.0,1071.0,30.0,1631.0,242.0,121.0,14.0,491.0,2406.0,34768.0,2124.0,39289.0,3.0,2156.0,88.0,2307.0,83.0,4348.0,264.0,4775.0,23.0,2131.0,82.0,2352.0,28.0,2350.0,81.0,2508.0,57.0,5064.0,251.0,5554.0,81.0,4835.0,241.0,5268.0,189.0,4748.0,194.0,5249.0,380.0,4640.0,158.0,5344.0,498.0,2903.0,85.0,3656.0,576.0,1016.0,38.0,1783.0,549.0,176.0,28.0,834.0,2964.0,34580.0,2048.0,39551.0,18.0,4410.0,266.0,4762.0,376.0,8989.0,538.0,9878.0,121.0,4364.0,211.0,4810.0,75.0,4976.0,228.0,5421.0,160.0,10289.0,659.0,11177.0,227.0,9604.0,515.0,10452.0,441.0,9151.0,433.0,9995.0,713.0,9165.0,371.0,10338.0,982.0,5894.0,236.0,7127.0,1057.0,2039.0,116.0,3390.0,842.0,387.0,67.0,1414.0,5295.0,69321.0,4192.0,78850.0,78850.0
Narre Warren South,0.0,3000.0,119.0,3249.0,349.0,6767.0,330.0,7504.0,41.0,3123.0,84.0,3390.0,45.0,3236.0,133.0,3553.0,68.0,5769.0,345.0,6289.0,91.0,6288.0,259.0,6776.0,131.0,5519.0,172.0,5980.0,223.0,4223.0,112.0,4696.0,303.0,2057.0,42.0,2530.0,242.0,721.0,21.0,1076.0,52.0,40.0,0.0,169.0,2151.0,40953.0,2198.0,45344.0,11.0,2867.0,157.0,3126.0,77.0,6482.0,324.0,6976.0,32.0,3050.0,107.0,3301.0,29.0,2989.0,127.0,3222.0,67.0,6009.0,302.0,6532.0,73.0,6426.0,251.0,6920.0,240.0,5707.0,165.0,6171.0,367.0,4074.0,93.0,4682.0,378.0,2118.0,34.0,2558.0,374.0,659.0,12.0,1117.0,214.0,37.0,0.0,314.0,2458.0,40403.0,2138.0,44966.0,28.0,5892.0,365.0,6381.0,502.0,13145.0,721.0,14422.0,119.0,6246.0,223.0,6727.0,134.0,6271.0,305.0,6790.0,200.0,11801.0,725.0,12800.0,271.0,12737.0,617.0,13672.0,440.0,11255.0,471.0,12236.0,660.0,8202.0,323.0,9326.0,761.0,4127.0,121.0,5065.0,639.0,1400.0,62.0,2213.0,335.0,148.0,7.0,638.0,4670.0,81300.0,4360.0,90266.0,90266.0
Nepean,28.0,1226.0,52.0,1345.0,121.0,2610.0,247.0,3018.0,40.0,1272.0,52.0,1442.0,8.0,1059.0,46.0,1180.0,45.0,2273.0,179.0,2488.0,43.0,2468.0,192.0,2823.0,98.0,3366.0,308.0,3802.0,132.0,3849.0,280.0,4394.0,270.0,4548.0,271.0,5182.0,396.0,2600.0,179.0,3265.0,401.0,599.0,76.0,1148.0,1987.0,26014.0,2280.0,30206.0,4.0,1137.0,64.0,1208.0,43.0,2570.0,213.0,2891.0,16.0,1207.0,39.0,1330.0,12.0,1068.0,62.0,1203.0,20.0,2420.0,184.0,2643.0,36.0,2717.0,196.0,3083.0,86.0,3572.0,257.0,4021.0,165.0,4449.0,281.0,4974.0,301.0,4909.0,282.0,5491.0,664.0,2685.0,232.0,3593.0,672.0,612.0,90.0,1463.0,2309.0,27306.0,2306.0,31907.0,42.0,2396.0,146.0,2567.0,208.0,5180.0,512.0,5964.0,92.0,2477.0,149.0,2795.0,33.0,2128.0,149.0,2357.0,103.0,4670.0,376.0,5213.0,143.0,5235.0,443.0,5858.0,219.0,6942.0,627.0,7799.0,327.0,8328.0,601.0,9358.0,578.0,9476.0,673.0,10756.0,1108.0,5258.0,490.0,6791.0,1095.0,1249.0,216.0,2595.0,4260.0,53313.0,4573.0,62145.0,62145.0
Niddrie,13.0,1799.0,28.0,1950.0,170.0,3780.0,71.0,4167.0,36.0,1879.0,38.0,2001.0,14.0,1939.0,49.0,2049.0,24.0,3662.0,187.0,3981.0,30.0,4201.0,88.0,4425.0,58.0,4384.0,121.0,4649.0,80.0,3624.0,63.0,3947.0,284.0,2711.0,54.0,3174.0,526.0,1741.0,47.0,2370.0,454.0,354.0,16.0,887.0,2151.0,30217.0,1236.0,33632.0,7.0,1577.0,25.0,1697.0,40.0,3678.0,120.0,3970.0,13.0,1853.0,9.0,1912.0,7.0,1675.0,32.0,1794.0,33.0,3675.0,101.0,3921.0,46.0,4435.0,114.0,4707.0,64.0,4687.0,123.0,4975.0,206.0,4017.0,83.0,4360.0,398.0,3377.0,61.0,3870.0,875.0,1957.0,75.0,2900.0,862.0,342.0,25.0,1293.0,2874.0,31336.0,1257.0,35439.0,20.0,3403.0,86.0,3563.0,258.0,7476.0,259.0,8107.0,57.0,3777.0,57.0,3955.0,31.0,3598.0,95.0,3788.0,82.0,7434.0,339.0,7909.0,131.0,8644.0,296.0,9164.0,169.0,9133.0,308.0,9636.0,383.0,7588.0,194.0,8298.0,724.0,6056.0,142.0,7055.0,1465.0,3601.0,165.0,5281.0,1330.0,776.0,74.0,2236.0,5032.0,61544.0,2505.0,69042.0,69042.0
